,comedy
779,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
780,Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.
781,"A group of five high schoolers unleash supernatural forces upon their town. Now, they must work together in order to save it."
782,A naive teenager is sent to rehab camp when her straitlaced parents and friends suspect her of being a lesbian.
783,A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.
784,A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.
785,Hilariously sexy coming of age series which follows group of high school students and their sexual life through their high school years.
786,"Gym teacher Graham Lubbock and his wife Elizabeth live in Eureka, California with their eight children."
787,"A hitman, his boss, an art dealer and a money-laundering scheme that accidentally turns the assassin into an overnight avant-garde sensation, one that forces her to play the art world against the underworld."
788,"Sheila and Joel are married real estate agents who live and work in Santa Clarita, California. When Sheila dies, their lives take a dark turn."
789,A thirty-five-year-old video game tester has to move in with his grandma and her two old lady roommates.
790,"A close-knit group of six friends get through their teens together while attending Bayside High School in Palisades, California."
791,The Griswold family's cross-country drive to the Walley World theme park proves to be much more arduous than they ever anticipated.
792,Aspiring singer Tori Vega navigates life while attending a performing arts high school called Hollywood Arts.
793,A world-class playboy and part-time secret agent from the 1960s emerges after thirty years in a cryogenic state to battle with his nemesis Dr. Evil.
794,"Set in an era where superheroes are commonly known and accepted, young William Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being."
795,A young couple arrives in New York for a weekend where they are met with bad weather and a series of adventures.
796,"An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there."
797,"Set nearly a decade after the finale of the original series, this revival follows Lorelai, Rory and Emily Gilmore through four seasons of change."
798,A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.
799,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
800,"Dave is a married man with three kids and a loving wife, and Mitch is a single man who is at the prime of his sexual life. One fateful night while Mitch and Dave are peeing in a fountain, lightning strikes and they switch bodies."
801,"Rusty Griswold takes his own family on a road trip to ""Walley World"" in order to spice things up with his wife and reconnect with his sons."
802,"In 1954, a group of Florida high-school guys try to help their buddy lose his virginity, which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them."
803,"A young artist, searching for his vocation, makes a mannequin so perfect he falls in love with it. Finding the mannequin in a store window, he gets a job there and his creation comes to life."
804,"When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune."
805,"Son of Naruto Uzumaki, Boruto, follows his father's footsteps along with his friends to become great ninja. Throughout all their adventures, Boruto is determined to make his mark in the ninja world and live outside of his father's shadow."
806,A grieving snowplow driver seeks out revenge against the drug dealers who killed his son.
807,"Cousins Bo, Luke, and Daisy Duke, and their uncle Jesse, egg on the authorities of Hazzard County, Boss Hogg and Sheriff Coltrane."
808,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
809,"Genre-mixing anthology series, inviting viewers into some very different and enigmatic No. 9s."
810,An outcast secretly pays the most popular girl in school one thousand dollars to pretend to be his girlfriend for a month.
811,The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.
812,Two men named Charlie Hinton and Phil Ryerson get laid off and have to become stay-at-home fathers when they can't find jobs. This inspires them to open their own day care center.
813,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
814,"Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit."
815,"Jimmy becomes a single parent to an infant after her mother, with whom he had a one-night stand, ends up on Death Row."
816,A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.
817,"Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money."
818,"Follow-up to the comedy series Roseanne (1988), centering on the family members of the matriarch after her sudden death."
819,"Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin."
820,"A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications."
821,"The 1960s lives and adventures of the police constabulary, medical staff, and residents of Ashfordly and Aidensfield."
822,"A lazy law school graduate adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father."
823,"Aisha Tyler hosts this skit comedy show where the actors on the show, usually Wayne Brady, Colin Mochrie, Ryan Stiles and another guest star or two do different comedy skits. It's all improv and made up on the spot."
824,"In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management."
825,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen."
826,An exclusive golf course has to deal with a flatulent new member and a destructive dancing gopher.
827,"The adventures of the last human alive and his friends, stranded three million years into deep space on the mining ship Red Dwarf."
828,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.
829,Two cousins travel to Poland after their grandmother's death to see where they came from and end up joining a Holocaust tour.
830,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
831,After being gone for a decade a country star returns home to the love he left behind.
832,"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team."
833,"Sister Simone partners with her ex-boyfriend Wiley on a globe-spanning journey to destroy Mrs. Davis, a powerful artificial intelligence."
834,Brothers Huey and Riley Freeman experience a culture clash when they leave Chicago to move in with their grandfather in the suburbs.
835,"A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter, while trying to arrest a dangerous crime lord along the way."
836,"After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult."
837,"Phineas and Ferb invent, scheme, and stay one step ahead of their bratty sister. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz."
838,"An aspiring actor and his sister Brooke, a former professional dancer, try to find their places in the world while wrestling with their feelings about their 13-year-old brother Chase's sudden rise to internet fame."
839,"The Manzoni family, a notorious Mafia clan, is relocated to Normandy, France, under the Witness Protection Program, where fitting in soon becomes challenging as their old habits die hard."
840,"James May embarks on a remarkable journey across Japan, from its icy north to its balmy south. He'll see the sights, meet the locals, and eat the noodles in a bid to truly understand the Land of the Rising Sun."
841,"Both dumped by their girlfriends, two best friends seek refuge in the local mall."
842,A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him in order to track down a killer.
843,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
844,"For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child."
845,"A lazy, incompetent middle school teacher who hates her job, her students, and her co-workers is forced to return to teaching to make enough money for breast implants after her wealthy fiancé dumps her."
846,"In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon."
847,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
848,"A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven."
849,"Follows the story of Pamela Anderson and Tommy Lee's relationship, going back to their whirlwind romance that started with them marrying after only knowing each other for 96 hours in 1995."
850,"A horrible toxic accident transforms downtrodden janitor, Winston Gooze into a new evolution of hero: The Toxic Avenger."
851,"The wild misadventures of Edina ""Eddy"" Monsoon and her best friend Patsy Stone, who live in a nearly constant haze of drugged, drunken selfishness."
852,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules."
853,"After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release."
854,The trials and misadventures of the staff of a country veterinary office in Yorkshire from the 1930s to the 1950s.
855,Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.
856,A governess uses magic to rein in the behavior of seven ne'er-do-well children in her charge.
857,An unfairly discredited but brilliant diagnostic surgeon winds up working with his cheesy brother in the Hamptons as a concierge doctor to the uber-rich and ultra-elite.
858,"The misadventures of a suburban boy, family and friends."
859,A friendly guy from the Midwest tries to fit in in a tough L.A. neighborhood.
860,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
861,"Set in the 19th century, it explores the constraints of society, gender and family from the perspective of rebellious young poet, Emily Dickinson."
862,"Robbie, a singer, and Julia, a waitress, are both engaged, but to the wrong people. Fortune intervenes to help them discover each other."
863,"An extremely pampered African prince travels to Queens, New York and goes undercover to find a wife that he can respect for her intelligence and strong will."
864,"Two couples and their single friend, all at different stages in their relationships, deal with the complications of dating, commitment, and marriage."
865,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho he met that evening at a coffee shop.
866,"In addition to fighting evil, Superman has a burning romance with Lois Lane in both of his identities."
867,"A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage, the others fail to realize that participation in the resort's therapy sessions is not optional."
868,"Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town."
869,"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence."
870,A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.
871,Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.
872,"Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer."
873,A grumpy Grinch plots to ruin Christmas for the village of Whoville.
874,"Nell, Simon, and their 3 sons are ready to welcome friends and family for what promises to be a perfect Christmas gathering. Perfect except for one thing: everyone is going to die."
875,Two eighth-graders start to have feelings for each other despite being total opposites.
876,"Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test."
877,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder."
878,"After discovering that her boyfriend is married, Carly meets the wife he's been betraying; when yet another affair is discovered, all three women team up to plot revenge on the three-timing S.O.B."
879,A sausage strives to discover the truth about his existence.
880,"The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that are still felt today."
881,"After being bullied and discriminated because of her ugly looks, a high school girl transforms herself into a gorgeous ""goddess"" and quickly rises to fame after mastering the art of makeup via online tutorial videos."
882,"Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients."
883,Shirley is a 42-year-old bored Liverpudlian housewife who takes a holiday trip to Greece and meets a local man who bolsters her self-confidence. She evolves and transforms to the point that her husband doesn't even recognize her.
884,The teenage son of the king and queen of Auradon offers the trouble-making children of villains a chance to attend prep school in the kingdom.
885,"An American mom inherits her grandfather's mafia empire in Italy. Guided by the firm's consigliere, she hilariously defies everyone's expectations as the new head of the family business."
886,An ensemble comedy that follows a group of old friends in a fantasy football league who care deeply about one another -- so deeply that they use every opportunity to make each other's lives miserable.
887,A space colony family struggles to survive when a spy/accidental stowaway throws their ship hopelessly off course.
888,"Rock-and-roll icon Conrad Birdie is about to go into the Army, and plans are being made to arrange his final going-away concert."
889,"Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry."
890,Two young people's bond leads to marital infidelity and ultimately crime.
891,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."
892,A family plans to rob a mall but find armed robbers already inside when they arrive.
893,"A young woman tries to ease the pain of her fiancé's death by sending romantic texts to his old cell phone number, and forms a connection with the man the number has been reassigned to."
894,Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.
895,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.
896,"A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives."
897,"An elite team of mercenaries breaks into a family compound on Christmas Eve, taking everyone hostage. However, they aren't prepared for a surprise combatant: Santa Claus is on the grounds, and he's about to show why this Nick is no saint."
898,"At a Jewish funeral service with her parents, a college student runs into her sugar daddy and ex girlfriend."
899,A woman is rescued from a doomsday cult and starts life over again in New York City.
900,A tough aspiring chef is hired to bring home a mobster's son from the Amazon but becomes involved in the fight against an oppressive town operator and the search for a legendary treasure.
901,This Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.
902,"In a continuation of Full House (1987), D.J. Fuller is a mother of three young boys and is a recent widow. D.J.'s sister Stephanie, her best friend Kimmy and Kimmy's teenage daughter all move in to help raise her sons. The house is now a lot fuller."
903,Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.
904,Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.
905,"Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices."
906,"Using high tech gadgets, two kids have to save their reactivated OSS top spy parents when they're taken by an evil, high tech enemy."
907,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world."
908,An unlikely World War II platoon is tasked to rescue art masterpieces from German thieves and return them to their owners.
909,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary."
910,"Vignettes about eight different couples at varying points in their relationships, each having conversations immediately after having sex."
911,A couple find themselves in over their heads when they foster three children.
912,"A star bowler whose career was prematurely ""cut off"" hopes to ride a new prodigy to success and riches."
913,"Ella is under a spell to be constantly obedient, a fact she must hide from her new stepfamily in order to protect the prince of the land, her friend for whom she's falling."
914,"At Adams College, a group of bullied outcasts and misfits resolve to fight back for their peace and self-respect."
915,"Nancy Stokes, a retired school teacher, is yearning for some adventure, and some sex. And she has a plan, which involves hiring a young sex worker named Leo Grande."
916,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
917,"Six Los Angeles celebrities are stuck in James Franco's house after a series of devastating events just destroyed the city. Inside, the group not only have to face the apocalypse, but themselves."
918,"Wayne, a 16-year-old with a heart of gold, sets out on a small two-stroke road bike from Boston to Florida with his new friend Del to retrieve the '79 Trans-Am that was stolen from his father before he died."
919,"The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair."
920,"Julie, a girl from the valley, meets Randy, a punk from the city. They are from different worlds and find love. Somehow they need to stay together in spite of her trendy, shallow friends."
921,Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja is kidnapped at his own lavish wedding.
922,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick."
923,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games."
924,"Two 12-year-olds, who live on an island, fall in love with each other and elope into the wilderness. While people set out on a search mission, a violent storm approaching them catches their attention."
925,Earth is invaded by Martians with unbeatable weapons and a cruel sense of humor.
926,A whiny news reporter is given the chance to step into God's shoes.
927,"A vapid aspiring model killed in a car crash gets brought back to life as an intelligent, overweight lawyer, hoping to find the meaning of inner beauty."
928,A popular high school athlete and an academically gifted girl get roles in the school musical and develop a friendship that threatens East High's social order.
929,"Follows a new couple and their families, who find themselves examining modern love and family dynamics amidst clashing cultures, societal expectations and generational differences."
930,"Dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world."
931,"A married couple wake up to discover that the sex tape they made the evening before has gone missing, leading to a frantic search for its whereabouts."
932,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas."
933,The misadventures of an author-turned-innkeeper and his friends in rural Vermont.
934,"Set in the 1930s, a group of pretentious rich and famous get together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect."
935,A town's Sheriff and regular patron of a historical whorehouse fights to keep it running when a television reporter targets it as the Devil's playhouse.
936,"Cid Kagenou creates an elaborate plot to fight the Cult of Diabolos and builds his organization, the Shadow Garden."
937,"Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, which sets Sam's mom on her own life-changing path as her son seeks more independence."
938,"After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down."
939,A big-city newspaper columnist is forced to enter a drug and alcohol rehab center after ruining her sister's wedding and crashing a stolen limousine.
940,"Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson."
941,"A male stripper teaches a younger performer how to party, pick up women, and make easy money."
942,"In the 1970s, an anchorman's stint as San Diego's top-rated newsreader is challenged when an ambitious newswoman becomes his co-anchor."
943,"One of the world's top bodyguards gets a new client, a world class hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial alive and on time."
944,"When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams."
945,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
946,"After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform."
947,"It follows Abby and Travis, who after a crazy night in Las Vegas, discover they are married. They head to Mexico for a honeymoon with friends and family."
948,"Hot-tempered journalist Maya got herself fired yet again. Unable to find a job anywhere else and facing eviction, she is forced to go work for Blush, her father's fashion magazine."
949,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections."
950,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
951,A group of enslaved teenagers steal a derelict Starfleet vessel to escape and explore the galaxy.
952,"A Chicago advertising man must struggle to travel home from New York for Thanksgiving, with a lovable oaf of a shower-curtain-ring salesman as his only companion."
953,An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.
954,"TV series based on the New York Times column that explores relationships, love, and the human connection."
955,"Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS."
956,"The adventures of the fast-drivin', rubber-burnin' Duke boys of Hazzard County."
957,"Three female employees of a sexist, egotistical, lying, hypocritical bigot find a way to turn the tables on him."
958,Bubble Boy's been in a bubble all his life due to no immune system. A cute blonde girl befriends BB. Her boyfriend proposes and BB decides to travel across USA to Niagara Falls to stop the wedding.
959,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.
960,Three twenty-somethings share a Boston apartment and hang around (and work) at a pizza place.
961,A hard-living aunt is forced to take care of her wealthy sister's spoiled kids after the mom flees the country to avoid criminal charges.
962,A San Francisco poet who fears commitment suspects his girlfriend may have a knack for killing off her significant others.
963,"Due to circumstances, Serkan and Eda will have to pretend to be engaged. Comedy begins. And romance?"
964,"After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents."
965,Six short stories that explore the extremities of human behavior involving people in distress.
966,"After being banished from their tribe, two hunter-gatherers encounter Biblical characters and eventually wind up in the city of Sodom."
967,There's just one dream for the women of Ballygar to taste freedom: to win a pilgrimage to the sacred French town of Lourdes.
968,The life and career of legendary comedian Andy Kaufman.
969,"A chance encounter between a down-and-out music business executive, and a young singer songwriter new to Manhattan, turns into a promising collaboration between the two talents."
970,"Three high-school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads."
971,"When a woman's long-time friend reveals he's engaged, she realizes she loves him herself and sets out to get him, with only days before the wedding."
972,A suburban mother faces her cancer diagnosis while trying to find humor and happiness as well.
973,"Fresh out of the farm, Annie Walker must adapt to the challenging life of a CIA operative under the guidance of her handler, Auggie. But soon she realizes her recruit might have to do with her last boyfriend rather than her talent."
974,"Mrs. Edna Garrett, housemother and dietitian at the Eastland School, teaches a group of girls in her charge how to solve those problems that every teenager has to face."
975,A nouveau-riche hillbilly family moves to Beverly Hills and shakes up the privileged society with their hayseed ways.
976,Follows a teacher juggle through being a teacher and deal with his students while trying to maintain his not so cool lifestyle.
977,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.
978,The goings-on in the life of a successful African-American family.
979,The curtain is pulled back on the millennia-old battle between the organizations of good luck and bad luck that secretly affects everyday lives.
980,"Greg Heffley is a 12 year old who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year."
981,"A young Ob/Gyn doctor balances her personal and professional life, surrounded by quirky co-workers in a small office."
982,A businessman and his friends are captured by a sadistic judge and his equally odd family in a bizarre mansion in the backwoods.
983,"A worker in a foreign finance company is bullied and worked around the clock, before a zombie outbreak finally makes him feel alive."
984,Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.
985,"After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship."
986,"A young man, Aren, is recruited into a secret society of magical Black people who dedicate their lives to a cause of utmost importance: making white people's lives easier."
987,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet."
988,"Willa and Bill are ex-lovers that will see each other for the first time in years when they both find themselves snowed in, in-transit, at an airport overnight."
989,"The wife of a band leader constantly tries to become a star - in spite of her having no talent, and gets herself (along with her best friend) into the funniest predicaments."
990,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him."
991,"After being abandoned by his parents at the Grand Canyon, Joe Dirt tells the story of his journey to find his parents."
992,"Leo and Angela Russo live a simple life in Queens, surrounded by their overbearing Italian-American family. When their son 'Sticks' finds success on his high-school basketball team, Leo tears the family apart trying to make it happen."
993,"A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer."
994,"Follows the escapades and relationships of a group of neighbors living in Gulfhaven, Florida."
995,"In London, four very different people team up on a jewel heist, then try to double-cross one another for the loot, complicated by their efforts to fool a very proper barrister."
996,A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.
997,"After his auto-parts tycoon father dies, the overweight, underachieving son teams up with a snide accountant to try and save the family business."
998,Follows four friends and their antics during their final years of school.
999,"A nouveau riche, African-American family who move into a luxury apartment building develop close, if occasionally fractious, relationships with other tenants."
1000,"A mild-mannered guy, who is married to a monstrous woman, meets the woman of his dreams, and schemes to find a way to be with her."
1001,"When aspiring actor Greg Sestero meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true."
1002,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
1003,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
1004,"Terry feels discriminated against when the summer jobs at the Sun Tribune go to two guys. She decides to do something about it. She dresses like a guy and gets a haircut. Will students at the other high school notice? Girls notice ""him""."
1005,Follows the awkward experiences and racy tribulations of a modern-day African-American woman.
1006,"When attending their son's college graduation, a couple reignite the spark in their relationship. But the complicated fact is they're divorced and he's remarried."
1007,Bert's drunken past catches up with him 20 years down the road when he and his father are kidnapped by those Bert wronged 20 years ago while drunk on a college semester abroad in Russia.
1008,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.
1009,"After Playboy bunny Shelley is kicked out of the Playboy Mansion, she finds a job as the house mother for a sorority full of socially awkward girls."
1010,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way."
1011,A young man is reunited with a mermaid he briefly encountered as a boy and falls in love with her without knowing her secret.
1012,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars."
1013,A snowboarder's plans for his own snowboard park go awry when an ex-girlfriend returns to town.
1014,"In a not-so-distant future, tech giant Pegazus offers couples the opportunity to share their pregnancies via detachable artificial wombs or pods. And so begins Rachel and Alvy's wild ride to parenthood in this brave new world."
1015,"In the 41st century, an astronaut partakes in sexy misadventures while seeking to stop an evil scientist who threatens to bring evil back into the galaxy."
1016,"Fran, who likes to think about dying, makes the new guy at work laugh, which leads to dating and more. Now the only thing standing in their way is Fran herself."
1017,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.
1018,A look at the personal and professional lives of a group of women who perform for a wrestling organization in Los Angeles during the 1980s.
1019,The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.
1020,"When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all."
1021,A young girl on the threshold of her teen years finds her life turning upside down when she is accompanied by an unlikely friend.
1022,"A grumpy ghost named Scratch is eternally cursed to be in the presence of polar opposite Molly McGee, a cheerful tween."
1023,"When a school in upstate New York is snowed in, a group of students hi-jack a plow to keep the school closed."
1024,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world."
1025,An oddball couple of private detectives named Luella Shakespeare and Frank Hathaway investigate crime in Stratford-upon-Avon.
1026,A teenage girl's secret love letters are exposed and wreak havoc on her love life.
1027,"Follows Orion, a young boy who is afraid of heights, pets, and rendered nearly catatonic by the worst of all perils: the dark. The Dark takes Orion on a nighttime trip to prove to the youngster that the only thing to fear is fear itself."
1028,"In England, an American car salesman ends-up spending a stormy night at the mysterious and deadly mansion of a client's family."
1029,"After an unexpected incident, Beth starts having flashbacks to her teen self and learns how she became who she is and who she wants to become."
1030,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.
1031,"Reunited by the death of a college friend, three divorced women seek revenge on the husbands who left them for younger women."
1032,A high school teacher meets his match in an over-achieving student politician.
1033,A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know that things are about to take a turn for the worst.
1034,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage."
1035,A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.
1036,The adventures of a single dad and his weird Alaskan family.
1037,"Intertwined groups of friends in Chicago fumble through the modern maze of love, sex, technology and culture."
1038,"With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character."
1039,"Ria Khan believes she must save her older sister Lena from her impending marriage. After enlisting her friends' help, she attempts to pull off the most ambitious of all wedding heists in the name of independence and sisterhood."
1040,"Two friends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture."
1041,"A single-camera comedy featuring three friends who work together as telemarketers from 9 to 5, and live together from 5 to 9."
