,animation
743,Five teenagers become the last line of defense for the galaxy in an intergalactic battle against the evil alien force led by King Zarkon.
744,"Follows a man, a director who tries to vanquish his demons, which are oppressing his creativity."
745,"In a world where monster wrestling is a global sport and monsters are superstar athletes, teenage Winnie seeks to follow in her father's footsteps by coaching a loveable underdog monster into a champion."
746,The events and battles of the Galactic Republic's last major war are recounted.
747,The globe-trotting treasure-hunting money-making adventures of billionaire Scrooge McDuck and his nephews.
748,A Sequel to Justice League Dark (2017) involving Jack Kirby's New Gods.
749,"On an alternate Earth, the Joker tricks Superman into killing Lois Lane, which causes a rampage in the hero. Superman decides to take control of Earth; Batman and his allies will have to attempt to stop him."
750,"A school bus from Japan arrives in another world ruled by a sage who kills the adults and claims the students will train as sages. Apathetic Yogiri hopes to find a way home with classmate Tomochika, though his powers alarm her."
751,A parody of reality shows cast with spoofs of several famous types of animated characters.
752,"Travel back 66 million years to when majestic dinosaurs and extraordinary creatures roamed the lands, seas, and skies."
753,"There's a mystery afoot in Gotham City, and Batman must go toe-to-toe with a mysterious vigilante, who goes by the name of Red Hood. Subsequently, old wounds reopen and old, once buried memories come into the light."
754,Follows SpongeBob as he travels to the depths of the ocean to face the ghost of the Flying Dutchman.
755,Lightning McQueen and Mater go on a cross-country road trip to see Mater's sister.
756,A good version of Lex Luthor from a parallel Earth comes to the Justice League's dimension for help to fight their evil counterparts.
757,"Red was once a member of the Hero's party, a powerful group destined to save the world from the evil forces of Taraxon, the Raging Demon Lord. That is, until one of his comrades kicked him out."
758,"Confused hulking homeless superhero The Maxx tries to protect his social worker and friend Julie from an omniscient serial killer Mr. Gone both in the real world, which may or may not actually be real, and the subconscious fantasy world."
759,The daily life of high-school student Natsuo is heavily complicated after his single father marries the mother of his teacher crush Hina Tachibana and her sister Rui - who he had shared his first experience with with at a preceding mixer.
760,Vash the Stampede is the most infamous outlaw on the planet Gunsmoke and with a 60 billion double dollar price on his head the most sought after.
761,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
762,"In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess."
763,"After the time of the Mane 6, Sunny--a young Earth Pony--and her new Unicorn friend Izzy explore their world and strive to restore Harmony to Equestria."
764,A young orphaned boy raised by underground cave-dwelling trash collectors tries to save his friends from an evil exterminator.
765,The story captures the war between a mafia boss named Dino and a young gang leader searching for redemption.
766,"When a boy's beloved dog passes away suddenly, he attempts to bring the animal back to life through a powerful science experiment."
767,An aardvark named Gilbert lands the job of shepherding all the animals onto Noah's Ark.
768,"In order to defeat the wicked Grand Duke of Owls, a young boy, transformed into a cat, teams up with a group of barnyard animals to find the rooster who can raise the sun."
769,This animated musical series tells the story of how a family of caretakers who live and work in Central Park end up saving the park--and basically the world.
770,"Follows Funny, an enchanted talking playhouse who leads Mickey Mouse and his pals on imaginative adventures."
771,"The adventures of six fish-tailed kids- Molly, Gil, Deema, Oona, Goby, and Nonny."
772,"Aladdin, the clever hero of Agrabah, continues his adventures with the help of his fiancee Princess Jasmine, his pet monkey Abu, Magic Carpet, Iago the greedy parrot, and of course his best friend the semi-cosmic Genie."
773,"A prophet who has the ability to interpret dreams is sold into slavery in Egypt, where people learn of his gifts."
774,"Collections of short cartoons hosted by Mickey and his Disney pals at his club, The House of Mouse."
775,"Fate Graphite is cursed with the skill ""Gluttony"". He is starving until the day he kills a thief and devours the man's strength and his soul. The true hunger of Fate's Gluttony has awakened and he will be the master of his own destiny."
776,"The epic and over-the-top adventures of Dethklok, the world's most successful death metal band."
777,Hailey Banks must overcome her fears in order to save the world.
778,"Jafar comes for revenge on Aladdin, using a foolish thief and Iago's treachery to find a way back into power."
779,"In a world where magic is everything, Asta, a boy who was born with no magic, aims to become the ""Wizard King"" to overcome adversity, prove his power, and keep his oath with his friends."
780,"From the mind of horror manga maestro Junji Ito comes a spine-tingling selection of some of his most bizarre, disturbing and terrifying tales."
781,A successful farmyard revolution by the resident animals vs. the farmer goes horribly wrong when the victors create a new tyranny among themselves.
782,"Love, adventure and a surprise wedding. Sato's journey begins when he follows his best friend Hime to another realm. Can he become the Ring King?"
783,"When their seemingly fearless leader self-destructs, a team of troubled superheroes must confront festering evil in the world - and in themselves."
784,"Tarzan and Jane Porter face a mercenary army dispatched by the evil CEO of Greystoke Energies, a man who took over the company from Tarzan's parents, after they died in a helicopter crash."
785,"Shinjiro Hayata learns that his father passed on the ""Ultraman Factor"" to him and fights against evil."
786,A time traveling scientist goes back to prehistoric times and feeds dinosaurs a magic cereal that increases their intelligence - next they land in modern New York City for a series of comic adventures.
787,Enter the land of Tinker Bell and her four best fairy friends.
788,"Follows the adventures of best friends Kiff and Barry, an optimistic squirrel and a mellow bunny."
789,"Mickey, Donald and Goofy are the French three Musketeers."
790,A community of magical shape-shifting raccoon dogs struggle to prevent their forest home from being destroyed by urban development.
791,A honest young man is compelled to accept every girl who asks to be romantically involved with him.
792,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.
793,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past."
794,"The Man in the Yellow Hat is an oddball museum employee who looks after his pet monkey, an inquisitive and wonderful creature whose enthusiasm often gets the best of him."
795,"Four teenage girls form Team RWBY and train to fight crime and monsters known as the Grimm, while the world of Remnant remains on the brink of an all-out war."
796,It continues the evolving story of the croods and Bettermans as they learn to live together on the most idle farm in prehistory.
797,Follow the misadventures of the impulsive Cuphead and his cautious but persuadable brother Mugman in this animated series based on the hit video game.
798,Pirate Captain sets out on a mission to defeat his rivals Black Bellamy and Cutlass Liz for the Pirate of the year Award. The quest takes Captain and his crew from the shores of Blood Island to the foggy streets of Victorian London.
799,"After being betrayed and murdered by his employer, a government trained assassin is resurrected as a Hellspawn, then being forced to act as the reluctant leader of Hell's army."
800,"A mysterious young girl wanders a desolate, otherworldly landscape, carrying a large egg."
801,"Inspired by Mark Twain's fascinating novel, Princess Anneliese finds an unexpected friendship when she meets her humble look-alike, Erika. Will the Princess and the Pauper thwart the plans of the Queen's scheming advisor, Preminger?"
802,The adventures of the children of the characters of Fred Rogers' Neighborhood of Make-Believe.
803,"In the inner computer world of Mainframe, a guardian program sprite and his friends defend the system from threats from viruses and the User."
804,A family must use a magical box of Animal Crackers to save a run-down circus from being taken over by their evil uncle Horatio P. Huntington.
805,"A lone sellsword named Guts gets recruited into a mercenary band and attempts to help the Band's leader, Griffith, on his rise to power."
806,"Two scheming demon brothers, Wendell and Wild, enlist the aid of 13-year-old Kat Elliot to summon them to the Land of the Living."
807,An eccentric teacher takes her class on wondrous educational field trips with the help of a magic school bus.
808,"Seemingly unconnected citizens of Tokyo are targeted for bludgeoning by a boy with a golden baseball bat. As detectives try to link the victims, they discover that following the assaults, the victims' lives have improved in some way."
809,"First-year high school student, Toujo Basara, was suddenly have two beautiful step-sisters adopted by his father. But Mio and Maria's true forms are actually the newbie Demon Lord and a succubus!?"
810,"The adventures of a 4th grader named Clarence along with his two best friends, Sumo and Jeff."
811,"Wang Ling is a near-invincible existence with powers far beyond his control. But now that he's sixteen, he faces his greatest battle yet - Senior High School."
812,"A monster truck and his human driver go on adventures together while learning about science, technology, engineering and math."
813,"In a great Kingdom past the mountains, all the animals lived in harmony, ruled by the regal and well respected King and Queen. However, in this time there were still animals that wanted harm to come to the tree. So the King and Queen at the time recruited a streak of Tigers to watch over the tree during the night, while the rest of the animals slept. After moons and moons of this, the Tigers felt unappreciated by the animals of the kingdom. With the amount of effort and dedication that they put in for protection, the rest of the animals simply slept away like ingrates. So night after night the Tigers assembled, creating a dark plot to dethrone the King and Queen and rule over the Tree of Life. When the battle came, the Tigers fought with bravery and strength. But they had not realized the intensity and courage of their opponents, and so they lost the bloody battle. From that point onward, Tigers were looked down upon and were no longer granted to come back to the Tree of Life."
814,"Garden gnomes, Gnomeo and Juliet recruit renowned detective Sherlock Gnomes to investigate the mysterious disappearance of other garden ornaments."
815,The further adventures of Po the Dragon Warrior and his friends.
816,"Seventeen-year-old Hajime Nagumo is your average, everyday otaku. However, his simple life of pulling all-nighters."
817,"A young man competes with people around the world for a chance to become the succesor of God, with a diary that is able to tell the future."
818,The adventures of Prue McKeel as she sets off to the forests outside Portland to find her kidnapped brother.
819,"Bam, Redbird, Bibi, Batwing, and Buff are thrust into hijinks and action as they learn important lessons about teamwork, friendship, and so much more while helping Batman, Robin, and Batgirl defend Gotham."
820,The escapades of a super-powered robot who happens to resemble a teenage girl that tries to balance high school and teen problems while trying to save the world from danger.
821,A gambling prodigy comes to an elite school run by games and turns the order upside down.
822,"Wilbur is a farm pig who's terrified that he'll end up on the dinner table. His friend Charlotte, a charming spider, comes to his rescue. She weaves words into her web, convincing the farmer that Wilbur is too special a pig to kill."
823,"The iconic animated duo are back and dumber than ever. The '90s pop-culture phenomenons return, voiced by creator Mike Judge, to confound common sense, torment each other, and showcase some of the dumbest comedy imaginable."
824,"Inventing flying contraptions, war machines and studying cadavers, Leonardo da Vinci tackles the meaning of life itself with the help of French princess Marguerite de Nevarre."
825,"A dashing thief, his gang of desperadoes and an intrepid cop struggle to free a princess from an evil count, and learn the secret of a treasure that she holds part of the key to."
826,"This Inception prequel unfolds courtesy of a beautiful Motion Comic, and explains how Cobb, Arthur and Nash were enlisted by Cobol Engineering. Diehard fans of the film will be especially interested in this one."
827,"Hitori ""Bocchi-chan"" Goto is a lonely high school girl whose heart lies in her guitar; she meets Nijika Ijichi and joins ""Kessoku Band."""
828,"The greatest minds of the world have been cloned, and are now attending high school together."
829,"Uniqua, Pablo, Tyrone, Tasha, and Austin are a group of young friends who get together to play in the backyard they share. Each day, their imaginations transform that backyard into a different photo-realistic landscape."
830,The daily adventures of penguins living in New York's Central Park Zoo.
831,"Young Michael, shipwrecked on a remote island, must adapt to life alone. Over time, he feels another presence, learning that this world is home to both unimaginable danger and beauty. A gripping animated adaptation of a beloved novel."
832,An animated buddy movie following the misadventures of two unlikely friends - a puppet and an abandoned stuffed animal toy - as they cross paths in Central Park and pair up for an epic adventure in New York City.
833,"A young boy, who happens to be a genius, lives in a small town with his family and friends and often gets into crazy adventures with them involving the things he invents."
834,"A new generation of adventurers comes together to change the world, as a prophecy states. But will they bring good or destruction?"
835,"Third-year high school student Koyomi Araragi is human again. Cured of his vampirism, he seeks to help other supernaturals with their problems. Koyomi becomes involved in their lives, revealing secrets in people he once knew."
836,"Hatori Chise, 15 years old. Lost, without hope and without family - she sells herself to a non-human mage known as Elias Ainsworth. Hesitant, she starts a new life with him as his new apprentice."
837,Samurai Ryuma lives in a world threatened by a dragon unleashing catastrophic destruction. Ryuma embarks on a quest to vanquish the dragon. He faces numerous obstacles and challenges along his journey.
838,"Thomas and Bea are now married and living with Peter and his rabbit family. Bored of life in the garden, Peter goes to the big city, where he meets shady characters and ends up creating chaos for the whole family."
839,Follows heroine Lara Croft as she explores new territory.
840,Follows the mischievous adventures of a Monkey by the name of George.
841,"An adolescent lion is accidentally shipped from the New York Zoo to Africa. Now running free, his zoo pals must put aside their differences to help bring him back."
842,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him."
843,"Sleech and Klak, two brilliant female alien doctors who specialize in rare sci-fi illnesses."
844,"Clawdeen Wolf arrives at Monster High with a dark secret. With the help of her friends Draculaura and Frankie Stein, she is able to embrace her true monster heart and save the school from total destruction."
845,The further adventures of the Marvel Universe's mightiest general membership superhero team.
846,"The Smurfs are tiny blue creatures that live in mushroom houses in a peaceful forest. They repeatedly try to outwit Gargamel, an evil sorcerer, his apprentice, Scruple, and his mangy cat, Azrael."
847,"This spin-off of Disney's Hercules (1997) follows Hercules' many labors during the years he spent training how to be a hero under the tutelage of satyr Philoctetes. Olympian Gods and Goddesses, as well as Hades and Pegasus, often visit him."
848,A group of reclusive humanoid bears and a few trusted humans explore their lost heritage and prevent their enemies from exploiting it.
849,"Shaun The Sheep is a cheeky and mischievous sheep at Mossy Bottom farm who's the leader of the flock and always plays slapstick jokes, pranks and causes trouble especially on Farmer X and his grumpy guide dog, Bitzer."
850,"An orphan girl, Earwig, is adopted by a witch and comes home to a spooky house filled with mystery and magic."
851,"Born with unique powers, a boy is recruited to fight demons and save the community that fears him."
852,Two Hobbits struggle to destroy the Ring in Mount Doom while their friends desperately fight evil Lord Sauron's forces in a final battle.
853,"Bee, an unemployed woman, is living a normal life until a grumpy companion named PuppyCat arrives. Follow Bee and and PuppyCat as they travel between reality and ""Fishbowl Space."""
854,"Saiki Kusuo is a powerful psychic who hates attracting attention, yet he is surrounded by colorful characters who always find a way to remove him from his everyday life."
855,"Miyo Sasaki is in love with her classmate Kento Hinode and tries repeatedly to get Kento's attention by transforming into a cat, but at some point, the boundary between herself and the cat becomes ambiguous."
856,The zany adventures of a trio of 1930s animated characters in the modern world.
857,"Despite wanting a quiet reborn life, this former college girl levels up to the max as the villainess."
858,"Twenty-three years after the original Sonic the Hedgehog video game, fast, handsome, and arrogant hero Sonic continues to fight his arch nemesis, Dr. Eggman. Along with Tails, Knuckles, Amy, and a new recruit named Sticks."
859,A naive elderly British rural couple survive the initial onslaught of a nuclear war.
860,"Burt has a cleaning company and hires four women to clean an isolated house. They find an old book, a dagger and a soul shred and when one of them, Megan, reads an incantation, she unleashes an evil beast in our world."
861,"Princess Elena has saved her magical kingdom, Avalor, from an evil sorceress and must learn to rule as its crown princess. Elena's adventures will lead her to understand that her new role requires thoughtfulness, resilience and compassion."
862,A grumpy hermit hatches a plan to steal Christmas from the Whos of Whoville.
863,The futuristic adventures of a female cyborg counter intelligence agent and her support team.
864,"Kazuda Xiono, a young pilot for the Resistance, is tasked with a top secret mission to investigate the First Order, a growing threat in the galaxy."
865,"After Lucas Nickle floods an ant colony with his water gun, he's magically shrunken down to insect size and sentenced to hard labor in the ruins."
866,"E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car."
867,"Each night, young Nemo goes to Slumberland and has adventures and befriends the king of Slumberland, Morpheus. But one night Nemo discovers Nightmare Land, and the evil nightmare king, throwing Slumberland and Nemo himself into danger."
868,Mysterious things start happening when 12-year-old Naota meets a strange woman on a Vespa wielding a big guitar.
869,The evil Brand X joins a supermarket that becomes a city after closing time.
870,"The relative coexistence of the human world, demon world and beast world is soon to be disrupted by The Overfiend, an immensely powerful demon who'll be reborn after 3000 years to remake the world to his own liking."
871,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers."
872,"It tells the story of Younglings as they go in adventures, and start their journeys to become Jedi Knights."
873,"Spellbound follows the adventures of Ellian, the tenacious princess who must go on a daring quest to save her family and kingdom after a mysterious spell transforms her parents, the King and Queen of Lumbria, into monsters."
874,"A young man named, Koichi Sakakibara, transfers to a new school where he finds himself drawn into a mystery involving a mysterious girl and a series of gruesome deaths."
875,"A poor, straight A student is hired to tutor some rich quintuplets. The story is told as a flashback from a future that shows that he ends up getting married to one of them."
876,"A group of young teens is unexpectedly sent to the mysterious Digital World and paired up with their own powerful, morphing monster called the Digimon. Together the entire group set out on an adventure to fight evil and save the world."
877,"This rendition of X-Men features Cyclops, Jean Grey, Rogue, Nightcrawler, Shadowcat and Spike as teenagers as they fight for a world that fears and hates them."
878,"After death, humans go to either heaven or hell. But for some, at the instant of their death, they arrive at the Quindecim, a bar attended by the mysterious white-haired Decim."
879,"A friendship with a top-secret robot turns a lonely girl's life into a thrilling adventure as they take on bullies, evil bots and a scheming madman."
880,The Batman has returned after a 10-year absence. The Gotham authorities want to arrest him. An old foe wants a reunion. The Feds want the Man of Tomorrow to put a stop to him.
881,"The misadventures of a dumb blond egomaniac who severely overestimates his own manliness and his supposed ""success"" with women."
882,"The Kratt Brothers and their team use their ""Creature Power"" suits to learn about and help various species of animals around the world."
883,A young boy named Harold embarks on a magical mission with the help of his purple crayon
884,"An alien named Zim from the planet Irk is sent on a secret mission to conquer Earth, not realising that his leaders were just trying to get rid of him and hoped that he would die. Once there, Zim manages to disguise himself as a human child, but one boy named Dib sees through his disguise."
885,"Scooby-Doo and the Mystery, Inc. gang are launched into the 21st century, with new mysteries to solve."
886,"Stories about Garfield the cat, Odie the dog, their owner Jon and the trouble they get into, and Orson the Pig and his adventures on a farm with fellow farm animals."
887,In this new set of adventures the Autobots live on Earth and maintain their secret identity. They are joined by 3 teens as they battle the Decepticons.
888,"Sasaki, an office worker, buys a bird that can actually give him supernatural powers to cross between worlds. Although he wants to use that power to live in peace, there are various characters who may get in the way of his wishes."
889,The adventures of a group of ten-year-old friends who fight for the right to do everything that adults restrict from them.
890,"Set in London's streets, follows a musical cat and Fred, a gifted busker, and their warm, amazing friendship."
891,"Various people get trapped on a mysterious train with an endless number of cars, each one being its own universe, and they must resolve their psychological trauma and emotional issues in order to get home in this animated anthology series."
892,"When evil forces threaten to resurrect Anthrasax, the God of Destruction, the Kingdom of Meta-llicana calls on a volatile dark wizard for help."
893,"To gain the skills he needs to surpass his powerful father, Baki enters Arizona State Prison to take on the notorious inmate known as Mr. Unchained."
894,"Fun-loving pug puppies, brothers Bingo and Rolly, have thrill-seeking appetites that take them on exhilarating adventures in their neighborhood and around the globe."
895,The life of an adventurous family from the point of view of an eleven-year-old girl gifted with animal language.
896,"In Marzipan City, excitable young food-loving Chowder is the apprentice of Mung Daal, a very old chef who runs a catering company with his wife Truffles and assistant Shnitzel."
897,"After being married an entire year, Jane thinks back on some of her and Tarzan's adventures as she searches for something special to mark the occasion with."
898,"Gromit butts heads with a mysterious penguin lodger, who hatches a sinister scheme involving the ex-NASA Techno Trousers that have been modified by Wallace for walkies."
899,An ex-mercenary is forced out of isolation when three mysterious men kidnap and brainwash the city's children afflicted with the Geostigma disease.
900,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents."
901,"An alien civilization is invaded by Astronaut Chuck Baker, who believes that the planet was uninhabited. Wanted by the military, Baker must get back to his ship before it goes into orbit without him."
902,"Ginko is an expert travelling around to investigate a primeval life-form, the ""Mushi,"" and helping people with Mushi-related supernatural problems."
903,The story of a world in which archaeologists are massive celebrities and the coolest people on the planet.
904,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose."
905,"Dao Ma walks in the desert of the Western regions. On the way, he took a guarding task with a destination to Chang'an. The task seemed simple at first, but it is a road full of danger. A journey affecting the fate of the world begins.."
906,"A minor god seeking to gain widespread worship teams up with a human girl he saved to gain fame, recognition and at least one shrine dedicated to him."
907,"After being falsely convicted for the murder of his entire class, a young man must learn to survive in a mysterious prison with a perverted take on incarceration while also looking to clear his name."
908,"In a world plagued by deadly creatures called ""youma,"" a young silver-eyed girl, Clare, works on behalf of an organization that trains female youma half-breeds to become warriors."
909,A clueless yet clever loner bungles his way through life in London.
910,Animated series that takes place 17 years before 'Blade Runner 2049'.
911,A traumatized member of an elite para-military police force falls for the sister of a female terrorist courier who died in front of him on duty.
912,"Misato and her anti-NERV group WILLE arrive in Paris, a city now red from core-ization. Crew from the flagship Wunder land on a containment tower."
913,Toradora tells the tale of Ryuji (dragon) and Taiga (tiger) helping each other confess to their crushes.
914,"Follows 3 roommates on their hijinks, ridiculous adventures and shared love of wacky nonsense."
915,A comedic look at a couple facing various challenges in their daily lives while trying to cope with their changes from twenties to thirties.
916,A scientist makes a last stand on Earth with the help of a ragtag team of soldiers against an invasion of alien phantoms.
917,"A bumbling bionic police inspector stumbles about on his cases, while his niece and dog secretly do the real investigative work."
918,"In a post-apocalyptic future humans live in peace with androids in a domed city. However, a strange series of murders has intruded into bored inspector Re-l Mayer's life."
919,An elite player is summoned by two maidens to save a fantasy game.
920,"After being raped by an evil feudal lord and subsequently getting banished from her village, a peasant girl makes a pact with the Devil to gain magical powers and take her revenge."
921,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
922,The classic Roald Dahl tale gets a modern twist when Tom and Jerry enter the amazing world of Willy Wonka's Chocolate Factory.
923,"After his home kingdom is destroyed by the ancient devil priest Mumm-Ra, the young Thundercat Lord Lion-O leads a team of survivors as they fight evil on Third Earth."
924,"Fievel's family decides to move out to the West, unaware that they are falling into a trap perpetrated by a smooth-talking cat."
925,"A young mouse, mole and hedgehog risk their lives to find a cure for their badger friend, who's been poisoned by men."
926,"A group a young warriors known as 'Saints', each in possession of a 'cloth' guarded by a different constellation, must protect the reincarnation of the goddess Athena as she attempts to keep the Earth from being destroyed by evil forces."
927,"A dark lord awakens from a thousand-year slumber, only to find the world under attack from monsters and so he must ally himself the humans he once fought against to stop them."
928,"The world is divided into two factions: humans and monsters called katawara. Despite being a katawara, Tama loves humans and vows to protect them from evil, even if it means fighting her own kind."
929,"After the aftermath of a war, a young girl who was used as a 'tool' for war learned to live. With the scars of burns, she goes back to her past to feel the true feelings of the Major's, ""I love you."""
930,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey."
931,Follow gunman Vash the Stampede as he struggles to maintain his pacifist ways while avoiding the immense bounty on his head.
932,The story of a young delivery boy who becomes a drift-racing legend.
933,A group of never-do-well forest rangers are facing the shutdown of their National Park when a new ranger arrives to help transform them and save the park.
934,A TV interviewer and his cameraman meet a former actress and travel through her memories and career.
935,"Four beybladers and their genius friend travel the world as team 'Bladebreakers' to win a championship, realizing there's much more at stake on the go."
936,"Set in the Shinigami technical school, the series revolves around a partnership between a weapon meisters and a human weapons. Trying to reach a ranking of ""Death Scythe"" they must collect the souls of 99 evil humans and 1 witch."
937,"Kou Yamori is an average middle school student who struggles with grasping the complex concept of love. Because he sees little sense in surrendering to the norm, he soon stops going to school. Plagued with insomnia due to his idleness, Kou begins roaming the lonesome streets at night. One night, Kou encounters a bizarre girl named Nazuna Nanakusa who believes that people stay awake during the night because they are dissatisfied with how they spent their day and cannot rest until they release their inhibitions. Nazuna offers to help Kou with his sleep issues and invites him over to her place, where she convinces him to share a futon with her. Feeling uncomfortable, Kou only pretends to doze off-which is when Nazuna suddenly bites his neck and reveals herself to be a vampire. While Kou thinks the bite will turn him into a vampire, the specifics of transforming are not that simple. In order to change, he must be bitten by someone he truly loves. Ready to let go of his dreary mortal life, Kou decides on a new goal: he will fall in love with Nazuna and become a vampire."
938,The lives of occupants of an inner-city housing project.
939,"Living in a fairy tale may seem like a dream, but for this young heroine it is more like a nightmare."
940,"Bugs Bunny, Daffy Duck, Porky Pig and many other classic Looney Tunes characters have all new misadventures in this series inspired by their classic shorts. Most episodes consist of two full shorts and a brief mid-episode vignette."
941,Baki Hanma competes in an underground fighting tournament organized by Tokugawa. Masters of various fighting styles come from all over the world in order to determine who is the strongest fighter on Earth.
942,"A 3D-animated movie set in Paris in the year 1910 and centered on a monster who lives in a garden and his love for a beautiful, young singer."
943,"When Doris Lang is chosen as the next bride for the vampire Count Magnus Lee, she will hire a mysterious vampire hunter known only as D in an attempt to escape her ill-gotten fate."
944,"The year is 2242. Kanata wants to be a Drifter and meets Noir, who is a dud Magus with no memories. However, because Noir excels in battle against the Enders, Kanata partners with her and discovers exactly what it takes to be a Drifter."
945,"After 74 villains break out of prison, Marvel's most powerful superheroes team up to capture all of them, and also to defend the Earth from widespread threats."
946,"A slight malfunction causes Chaos Control, and sends Sonic the Hedgehog to Earth. While there, Sonic meets Chris Thorndyke, who aids at collecting the Chaos Emeralds, so Sonic and friends can go home."
947,"Animated fable about a cliché hunchbacked evil scientist's assistant who aspires to become a scientist himself, much to the displeasure of the rest of the evil science community."
948,The story of two 30-year old bird women who live in the same apartment building.
