,mystery
758,"A modern revival of the classic science fiction horror anthology show The Outer Limits (1963). Episodes often have twist-endings and involve aliens. Sometimes, a story from one episode continues in a later episode."
759,An Arizona logger mysteriously disappears for five days in an alleged encounter with a flying saucer in 1975. His co-workers endure ridicule and contempt as they are wrongly accused of murder.
760,"A boy grows up behind the safe walls of an apocalyptic Japan full of monsters. Tokyo flourishes as a paradise, while outside the walls of hell dangers lurk. However, a small group searches for heaven."
761,A woman is forced to confront the nightmares of her past in order to stop a secret cult intent on gathering children to fulfil its master plan.
762,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own."
763,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
764,"A wealthy mystery man named Charlie runs a detective agency via a speakerphone and his personal assistant, John Bosley. His detectives are three beautiful women, who end up in a variety of difficult situations."
765,"A young newlywed arrives at her husband's imposing family estate on a windswept English coast and finds herself battling the shadow of his first wife, Rebecca, whose legacy lives on in the house long after her death."
766,"A widower takes an offer to screen girls at a special audition, arranged for him by a friend to find him a new wife. The one he fancies is not who she appears to be after all."
767,"In the midst of an apocalypse, a man struggles to reach his pregnant fiancé, who is thousands of miles away."
768,"Luis, an 18-year-old boy with Indigenous roots, enters the Heroic Military College in hopes of ensuring a better future. There, he encounters a rigid and institutionally violent system designed to turn him into a perfect soldier"
769,"After a long-serving cop and a teenage girl fall to their deaths from a London tower block, Detective Sarah Collins investigates the dark heart of policing."
770,"Recovering alcoholic and divorced father of a young daughter, DS Jim Bergerac is a true maverick who prefers doing things his own way, and consequently doesn't always carry out his investigations the way his boss would like."
771,"After saving her town from a psychotic killer, Winnie Carruthers' life is less than wonderful. When she wishes she'd never been born, she finds herself in a nightmare parallel universe where without her, things could be much, much worse."
772,A model becomes obsessed with a high-profile murder trial.
773,"A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity."
774,"When a school teacher goes missing after a risqué video of her is posted on the internet, a police officer is tasked with uncovering the truth behind her disappearance."
775,A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.
776,An examination of the machinations behind the scenes at a real estate office.
777,"A mother of two who inherits a house is confronted with murderous intruders on the first night in their new home and fights for her daughters' lives. Sixteen years later when the daughters reunite at the house, things get really strange."
778,"When an alien spacecraft of enormous power is spotted approaching Earth, Admiral James T. Kirk resumes command of the overhauled USS Enterprise in order to intercept it."
779,Take control of three androids in their quest to discover who they really are.
780,"Sebastián Silva is detached from life, struggling to succeed in the art world and habitually taking ketamine. When he meets social media influencer Jordan Firstman at a nudist beach, the two discuss collaborating, but fate has other plans."
781,"Private investigator Philip Marlowe helps a friend out of a jam, but in doing so gets implicated in his wife's murder."
782,"When everyone else mysteriously vanishes from their wealthy town, the teen residents of West Ham must forge their own society to survive."
783,"Five ordinary Brits are accused of kidnapping the son of a prominent U.S. media mogul. They embark on a desperate race against time to prove their innocence, but will anyone believe them - and are they telling the truth?"
784,Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.
785,An elderly baker must do everything he can to protect his granddaughter from gangsters.
786,"In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend."
787,"Lucy, a girl with psychic abilities, joins two boys, Anthony and George, at the ghost-hunting agency Lockwood and Co. to fight the deadly spirits plaguing London, doing their best to save the day without any adult supervision."
788,"When a handsome neighbor moves in across the street, Anna, a heartbroken woman for whom every day is the same, starts to see a light at the end of the tunnel; that is, until she witnesses a gruesome murder. Or did she?"
789,A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.
790,"A team-building conference for municipal employees turns into a nightmare when accusations of corruption begin to circulate and plague the work environment. At the same time, a mysterious figure begins murdering the participants."
791,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.
792,A pious nurse becomes dangerously obsessed with saving the soul of her dying patient.
793,A look at the lives of young FBI recruits training at the Quantico base in Virginia when one of them is suspected of being a sleeper terrorist.
794,"After becoming the prime suspect in a murder, Fletch strives to prove his innocence while simultaneously searching for his girlfriend's stolen art collection."
795,"A meticulous horticulturist is devoted to tending the grounds of a beautiful estate and pandering to his employer, the wealthy dowager."
796,"Years after a brutal attack left her in a constantly shifting reality, Kirby Mazrachi learns that a recent murder is linked to her assault. She teams with a veteran reporter to understand her ever-changing present and confront her past."
797,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks and they race across Europe together against the clock to foil a deadly global plot."
798,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy."
799,"In the dystopian 27th century, six people wake up on a deserted spaceship with no memory of who they are or what they're doing there. They reluctantly team up and set off to find answers with the help of a female android."
800,"A film noir taking place in a train terminal at night. Add two male assassins, a female assassin, a waitress, a teacher, a janitor, and a crime boss. Add revenge. Who says mystery is a lost art?"
801,"In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective."
802,A mystery high-teen death game in which a mafia game takes place for students in Class 2 and 3 who left the retreat and the intense psychological warfare of cheating and deception and the breathtaking tension.
803,"Suspecting her husband of infidelity, gynecologist Dr. Catherine Stewart hires an escort named Chloe in order to test his faithfulness. Soon, the relationships between all three intensify."
804,"Crime/ Mystery Drama series After a series of disappearances of young women, newspaper reporter Lisa Wallace (26), sets out to find the man responsible who she believes is the same man who murdered her mother almost twenty years earlier."
805,"The rich Collins family of Collinsport, Maine is tormented by strange occurrences."
806,A young writer who follows strangers for material meets a thief who takes him under his wing.
807,"A salvage crew discovers a long-lost 1962 passenger ship floating lifeless in a remote region of the Bering Sea, and soon notices that its long-dead inhabitants may still be on board."
808,When disgraced New York Times reporter Michael Finkel meets accused killer Christian Longo - who has taken on Finkel's identity - his investigation morphs into a game of cat-and-mouse.
809,A fashion photographer unknowingly captures a death on film after following two lovers in a park.
810,"Haunted by painful memories and increasing paranoia, a damaged woman struggles to re-assimilate with her family after fleeing an abusive cult."
811,Christmas 1954. Wealthy philanthropist Rachel Argyll is murdered at her family estate Sunny Point. Her adopted son Jack Argyll is arrested for her murder. He vehemently protests his innocence.
812,Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.
813,"Unanticipated stories of how the upcoming changes to our planet will affect love, faith, work and family on a personal and human scale."
814,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.
815,We follow the exploits and cases of defense attorneys of a Boston law firm. Bobby Donnell is the senior defense attorney and founder of the firm.
816,"Jess Valenzuela, a 20-year-old Dreamer, sets off on an exploration to discover the mystery of her family history, and, with the help of her friends, seeks to recover historical lost treasure."
817,"During a blizzard and stranded at an isolated highway rest stop in the mountains, a college student discovers a kidnapped child hidden in a car belonging to one of the people inside."
818,A young boy who witnessed the suicide of a mafia lawyer hires an attorney to protect him when the District Attorney tries to use him to take down a mob family.
819,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it."
820,Police hunting for a serial kidnapper are helped when a victim manages to escape for the first time.
821,"A woman, along with her lover, plans to con a rich man by marrying him, earning his trust, and then running away with all his money. Everything goes as planned until she falls in love with him."
822,"As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi."
823,A lawyer finds himself in over his head when he gets involved in drug trafficking.
824,A molecular biologist and his laboratory partner uncover evidence that may fundamentally change society as we know it.
825,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
826,"Four ninja turtles, mutated by a mysterious alien substance, must rise up out of the sewers and defend their city against evil forces from both the past and present."
827,"Detectives John Cardinal and Lise Delorme investigate the murder of a young girl, while Cardinal struggles to right past wrongs that could derail the investigation and end his career, as the case grows more violent and twisted."
828,A coverup and witchhunt occur after a politician accidentally kills his mistress.
829,"A bereaved woman and her daughter are flying home from Berlin to America. At 30,000 feet, the child vanishes, and nobody will admit she was ever on the plane."
830,"Four young men who belong to a New England supernatural legacy are forced to battle a fifth power long thought to have died out. Meanwhile, jealousy and suspicion threaten to tear them apart."
831,"Exposed as an ex-Russian spy, an American single mom must juggle family life and unique shape-shifting skills in a battle against an insidious enemy."
832,"The story of Cal Kestis continues in STAR WARS Jedi: Survivor, a galaxy-spanning, third-person, action-adventure game."
833,"A headstrong journalist whose investigative podcast uncovers a strange artifact, an alien conspiracy, and the lies at the heart of her own story."
834,A woman suspects her husband of having an affair. After following several lines of inquiry far more unravels including a streak of violence below the surface.
835,"When a succubus finds it difficult to adapt with her unusual traits inspite of being born in a human family, she sets off on a journey to find out the truth of her origin."
836,"Although Baek Hee Sung is hiding a dark secret surrounding his true identity, he has established a happy family life. But his facade begins to crumble when his wife, a homicide detective, begins investigating murders from 15 years ago."
837,"A fast-tracked inspector, a hardened detective sergeant, and an expert in historical homicides investigate modern crimes with connections to the past in the Whitechapel district of London."
838,A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.
839,"After the promotion to Police Scotland's Historic Cases Unit, Karen Pirie reopens the cold case of a murdered barmaid. Her investigation unearths flaws in the original 1995 inquiry."
840,"An aging Sheriff tries to keep the peace in Rome, Wisconsin, a small town plagued by bizarre and violent crimes."
841,A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.
842,Two brothers find themselves lost in a mysterious land and try to find their way home.
843,"Accused of a ruthless murder he never committed or witnessed, Bryan Mills goes on the run and brings out his particular set of skills to find the true killer and clear his name."
844,"After being declared dead in absentia, an FBI agent must reclaim her family, identity and innocence when she finds herself the prime suspect in a string of murders."
845,"Follows the remaining crew of a spacecraft known as Ark One, who must become the best versions of themselves to stay on course and survive after experiencing a catastrophic event that caused massive destruction and loss of life."
846,An anthology series featuring rampaging serial killers leaving carnage in their wake as their next victims fight to stay alive.
847,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them."
848,"An adventure between a father and his son, in a world where some humans have started mutating into other animal species."
849,An agoraphobic woman living alone in New York begins spying on her new neighbors; only to witness a disturbing act of violence.
850,An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.
851,A writer from New York City attempts to solve the murder of a girl he hooked up with and travels down south to investigate the circumstances of her death and discover what happened to her.
852,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor."
853,"When his abducted brother returns seemingly a different man with no memory of the past 19 days, Jin-seok chases after the truth behind the kidnapping."
854,"Max Liebermann, a medical student and protegé of Sigmund Freud, helps Detective Rheinhardt in the investigation of a series of disturbing murders around 1900s Vienna."
855,Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.
856,"After being suddenly transported to another world, Subaru Natsuki and his new female partner are brutally murdered. However, Subaru awakens to a familiar scene, meeting the same girl again. The day begins to mysteriously repeat itself."
857,"My Life is Murder follows the adventures of fearless private investigator Alexa Crowe, who solves the most baffling crimes as well as coping with the frustrations of everyday life."
858,"In the midst of the Gulf War, soldiers are kidnapped and brainwashed for sinister purposes."
859,Doctor Joseph O'Loughlin a man who appears to have the perfect life and a successful career as a clinical psychologist. But nothing can be taken for granted. Even the most flawless existence is only a loose thread away from unravelling.
860,"Twenty years ago, a series of tragic events almost ripped Millwood apart. Now, in the present day, a brand-new set of Little Liars finds themselves tormented by an unknown assailant."
861,"Years after he fought his way out of an inescapable prison, Ray Breslin has organized a new top-notch security force. But when one of his team members goes missing, Breslin must return to the hell he once escaped from."
862,"In 1933, retired detective Hercule Poirot is targeted by a taunting killer who sends letters signed ""ABC"", which Poirot must decode in order to discover the identity of the murderer."
863,A secluded farm is struck by a strange meteorite which has apocalyptic consequences for the family living there and possibly the world.
864,"Dr Henry Morgan, a medical examiner, works with his partner Detective Jo Martinez, to solve criminal cases. Along the way, he tries to uncover the mystery to his 200-year-old immortality."
865,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
866,"The life of private eye, Mort Madison, is spiraling downward, when a beguiling, slightly familiar woman hires him for his most unusual case."
867,"Unable to unsee the dark crimes he's tasked to investigate, Wallander's job comes at a cost to his family and relationships."
868,"After orchestrating a brilliant escape from an Estonian psychiatric facility, Esther travels to America by impersonating the missing daughter of a wealthy family."
869,"A bookish CIA researcher in Manhattan finds all his co-workers dead, and must outwit those responsible until he figures out who he can really trust."
870,An overstressed suburbanite and his neighbors are convinced that the new family on the block is part of a murderous Satanic cult.
871,A serialized anthology series that follows a group of teenagers being targeted by a masked serial killer.
872,"Two people live in different times. Seo-Yeon lives in the present and Young-Sook lives in the past. One phone call connects the two, and their lives are changed irrevocably."
873,"Jung Ba-Reum is a rookie police officer. He is an honest person and tries to attain justice. After Ba-Reum faces a psychopath murderer, who places the entire nation in fear, his life is totally changed."
874,"When a man accepts an invitation to a dinner party hosted by his ex-wife, the unsettling past reopens old wounds and creates new tensions."
875,Group of people find themselves trapped in States from Zombies.
876,An archivist hired to restore a collection of tapes finds himself reconstructing the work of a filmmaker and her investigation into a dangerous cult.
877,The lives of three young alien/human hybrids with extraordinary gifts in Roswell.
878,"A former banker, his actress wife, and their spirited daughter book a vacation at an isolated modern home in the Welsh countryside where nothing is quite as it seems."
879,"Jerry and Rachel are two strangers thrown together by a mysterious phone call from a woman they have never met. Threatening their lives and family, she pushes Jerry and Rachel into a series of increasingly dangerous situations, using the technology of everyday life to track and control their every move."
880,"In swinging 60's Melbourne, gorgeously reckless Peregrine Fisher inherits a windfall when the famous aunt she never knew goes missing over the highlands of New Guinea."
881,"After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them."
882,A usual working day turns unusual for Guru and Harini when they get trapped in their haunted office. A patterned game unlocks a mystery and a lift is their only way out.
883,A young boy attempts to convince a woman that he is her dead husband reborn.
884,A murder investigation in her hometown triggers deep-seated emotions in an Ohio police chief who came from the Amish community.
885,Medical examiner Megan Hunt's unique approach to solving crimes puts her at odds with her superiors.
886,"A pastry chef with the power to bring dead people back to life solves murder mysteries with his resurrected childhood sweetheart, a cynical private investigator, and a lovesick waitress."
887,"Finding a ghost named Ernest haunting their new home turns Kevin's family into overnight social media sensations. But when Kevin and Ernest investigate the mystery of Ernest's past, they become a target of the CIA."
888,A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.
889,John River is a brilliant police inspector whose genius lies side-by-side with the fragility of his mind. He is a man haunted by the murder victims whose cases he must lay to rest.
890,"Follows the lives of three sisters who, after the tragic death of their mother, discover they are powerful witches."
891,"Follows Leonardo Da Vinci during his early days in Florence, as a young artist, inventor and dreamer, trying to change the future."
892,"When the Hardy boys, Frank and Joe and their father, Fenton arrive in Bridgeport they set out to uncover the truth behind the recent tragedy that has changed their lives, and in doing so, uncover something much more sinister."
893,"Harrow tells the story of Dr. Daniel Harrow, a forensic pathologist with a total disregard for authority."
894,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop."
895,A detective on the verge of retirement teams with a professor of African Studies to track down a serial killer who is performing the ancient black magic practice of Muti.
896,"Recuperating from trauma, Jennifer remains in danger as she returns to a life she doesn't remember."
897,"Bruce Wayne is murdered and his adopted son forges an alliance with the children of Batman's enemies. As the city becomes more dangerous, these mismatched fugitives will become its next generation of saviors, known as the Gotham Knights."
898,Follows a woman checking into a psychiatric ward to investigate a homicide.
899,"A married couple grieving the recent death of their young daughter are in Venice when they encounter two elderly sisters, one of whom is psychic and brings a warning from beyond."
900,"Walter Sparrow becomes obsessed with a novel that he believes was written about him, as more and more similarities between himself and his literary alter ego seem to arise."
901,"More than a thousand years before the events of ""The Witcher,"" seven outcasts in an Elven world join forces in a quest against an all-powerful empire."
902,An unexpected invitation rushes a grieving young woman into a lonely road trip through the American Midwest towards the border between Texas and Mexico.
903,Police detective Sarah Lund investigates difficult cases with personal and political consequences.
904,"A delightful, lively human romantic comedy about the reunion of old wrestling prodigy Kim Baek-doo and old alley leader Oh Doo-sik, who are living in a tough present life."
905,"A businessman mysteriously wakes up in an open-air prison cell with only an old grist mill. Forced to work as a beast of burden, he must find a way to escape before the birth of his child."
906,The plot is unknown.
907,Search Party is a dark comedy about four self-absorbed twenty-somethings who become entangled in an ominous mystery when a former college acquaintance suddenly disappears.
908,"A veteran cop with more than twenty years of experience is teamed with a young Inspector to solve crimes in San Francisco, California."
909,It follows a woman as she sets off to solve a murder that she witnessed on a rough estate.
910,"Exploring love and the weird things people do in the name of it, encased in an elaborate true-crime conspiracy."
911,"Trapped in a time loop that constantly repeats the day of his murder, a former special forces agent must unlock the mystery behind his untimely demise."
912,"During a rural summer picnic, a few students and a teacher from an Australian girls' school vanish without a trace. Their absence frustrates and haunts the people left behind."
913,Mysterious deaths surround an American ambassador. Could the child that he is raising actually be the Antichrist? The Devil's own son?
914,"An elderly woman battling Alzheimer's disease agrees to let a film crew document her condition, but what they discover is something far more sinister going on."
915,"Sylvia, a disillusioned British spy turned detective starts a new life in the beautiful heart of Italy. She soon finds out trouble follows her wherever she goes."
916,"In Bermuda, two amateur treasure-hunting divers have a run-in with local criminals when they inadvertently discover the secret cargo of a World War II shipwreck."
917,"A rare book dealer, while seeking out the last two copies of a demon text, gets drawn into a conspiracy with supernatural overtones."
918,"After Christine's son goes missing, she reaches out to the LAPD to find him. But when they try to pass off an impostor as her son to quieten public protests, she refuses to accept him or give up hope."
919,"Derek and Hansel are lured into modelling again, in Rome, where they find themselves the target of a sinister conspiracy."
920,"The streets of Whitechapel are the haunt of Detective Inspector Edmund Reid and his team of officers, who aim to maintain law and order in a place once terrorized by Jack the Ripper."
921,"A former Army Ranger, an FBI agent and a young woman search for the culprits who want the crime-fighting car KITT."
922,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.
923,"A small town in Kansas is literally left in the dark after seeing a mushroom cloud over nearby Denver, Colorado. The townspeople struggle to find answers about the blast and solutions on how to survive."
924,The saga of Michael Myers and Laurie Strode comes to a spine-chilling climax in the final installment of this trilogy.
925,"A cat-and-mouse drama, which focuses on the intense mental conflict between detectives and suspects. The stories take place within the confines of a police interview suite."
926,"The comedy-adventure series chronicles the high-flying adventures of trillionaire Scrooge McDuck; his temperamental nephew Donald Duck; grandnephews Huey, Dewey, and Louie; Launchpad McQuack; and Mrs. Beakley and her granddaughter Webby."
927,Follows Atsushi Nakajima as he joins the Armed Detective Agency in battling the Port Mafia and other superhuman threats to public safety.
928,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and evil is taking place. She bands together with a ragtag group of characters to save their world--and ours.
929,"A masked perpetrator murders a prominent politician and leaves an old, golden coin in his hand. Nikola Bobic, a defence attorney, reluctantly takes a case and plunges into a dangerous game that will change his life forever."
930,Private eye Barnaby Jones works with his widowed daughter-in-law to solve cases.
931,"A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals."
932,Dr. Paolo Macchiarini is world famous for his revolutionary stem cell-infused windpipe transplants. There's just one problem: His patients keep dying.
933,"Battling demons and other creatures with her unique abilities and a posse of dysfunctional allies, Wyatt Earp's great great-granddaughter Wynonna is the only thing that can bring the paranormal to justice."
934,A tough cop is dispatched to take down a serial killer who has been targeting police officers.
935,A detective investigating a series of murders becomes involved with a woman who may be the culprit.
936,A journey into uncharted and forbidden territory through three tales tangled in space and time.
937,An Irish detective teams up with a Kiwi cop to find an Irish couple who have vanished from a rural New Zealand town. The pair have to contend with a community's growing disquiet that the disappearances may be linked to a series of historical murders.
938,"Emma is a woman who looked into the eyes of a dangerous killer, John was a serial predator desperate to find redemption, and Mary is trying to find her missing daughter. As each of them is pushed to the edge, their pasts grow murkier."
939,Follows a young couple who take a remote backpacking trip through the Pacific Northwest and face sinister events leading them to realize that everything about the place is not as it seems.
940,"When a group of misfits are hired by an unknown third party to burglarize a desolate house and acquire a rare VHS tape, they discover more found footage than they bargained for."
941,"A private investigator is hired to discover if a ""snuff film"" is authentic or not."
942,"A single murder case is dissected from the committing of the crime through to the investigation, arrest and trial."
943,A widow begins to uncover her recently deceased husband's disturbing secrets.
944,"Divorced single mom Mildred Pierce decides to open a restaurant business, which tears at the already-strained relationship with her ambitious elder daughter, Veda."
945,An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.
946,A group of criminals are brought together under mysterious circumstances and have to work together to uncover what's really going on when their simple job goes completely sideways.
947,Follows two priests dealing with cases of a demonic presence targeting a family and a foster home.
948,"A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence."
949,A group of workers on a remote Scottish oil rig are due to return to the mainland when a mysterious fog enshrouds them and supernatural forces take hold.
950,Will's soon-to-be ex-wife mysteriously vanishes at a gas station. He delves into the town's criminal underbelly while running from the authorities in a race against time to find her.
951,"When a teenager is placed under house arrest, he succumbs to despair and starts spying on his neighbors, hoping to spice up his life. This, however, leads him to witness a serial killer on the loose."
952,A young girl finds solace in her artist father and the ghost of her dead mother.
953,"Modern society's evolution involves stem cells, gene therapy, transplants, and cloning, but also exposes the existence of monsters that hold the key to our race's future."
954,A nightmarish futuristic fantasy about the controlling power of big corporations and an innocent cop who stumbles on the truth.
955,"Carrie Wells, a former police detective, has a rare ability to remember virtually everything she experiences including detailed visual recall. She returns to police work and uses her ability to solve crimes."
956,"During the Great Depression, an Oklahoma farm boy and a charismatic minister learn that they are key players in a proxy war being fought between Heaven and Hell."
957,"Scooby-Doo and the gang attempt to solve creepy mysteries in the town of Crystal Cove, a place with a history of eerie supernatural events."
958,A detective and his team must rescue 8 people trapped in a factory by the twisted serial killer known as Jigsaw.
959,A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend.
960,An injured hitman befriends his kidnapped daughter's imaginary friend; a perky blue flying unicorn.
961,"Jonathan Creek, a magician with a natural ability for solving puzzles, works from his home in a converted windmill. He uses his abilities to solve impossible crimes and mysterious murders."
962,"The patriarch of a wealthy and powerful family suddenly passes away, leaving his daughter with a shocking secret inheritance that threatens to unravel and destroy the family."
963,A Hollywood fixer in the 1950s works to keep the studio's stars in line.
964,"Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth; along the way he reconnects with his estranged family."
965,The plot is unknown at this time.
966,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
967,"In Agatha Christie's most twisted tale, a spy-turned-private-detective is lured by his former lover to catch her grandfather's murderer before Scotland Yard exposes dark family secrets."
968,A young woman's world unravels when a drug prescribed by her psychiatrist has unexpected side effects.
969,"A college professor and a team of psychics investigate an old abandoned house. Hoping to explain some of the mysterious deaths on the property, the psychics stay in the mansion, but unleash a terrifying force that threatens to destroy all."
970,"Rick Hunter is a renegade cop who bends the rules and takes justice into his own hands. Partnered with the equally stunning and rebellious Sgt. McCall, the tough-minded duo set out to crack down on L.A.'s slimiest criminals."
971,"An air marshal springs into action during a transatlantic flight after receiving a series of text messages demanding $150 million into an off-shore account, or someone will die every 20 minutes."
972,An embattled NYPD detective is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy.
973,A shady police detective finds himself in the middle of a murder conspiracy at an important boxing match in an Atlantic City casino.
974,A doctor and his recently-deceased patient are reborn as twins to a famous Japanese musical idol and navigate the highs and lows of the Japanese entertainment industry as they grow up together through their lives.
975,"After a near-fatal car accident, smart, savvy, sharp-suited detective Sam is mysteriously transported back to 1973. Confused by his new surroundings, Sam tries to return to the present, but the police force of long ago needs his help."
976,"When a C.I.A. officer investigates a man and his followers who attract international attention through acts of public disruption, she embarks on a global high-stakes mission to uncover whether he is a divine entity or a con artist."
977,"Having made a deal with the Devil himself for immortality many millennia ago, the now decrepit mystic Doctor Parnassus fights for the freedom of his only daughter's soul."
978,"An anthology series based on popular Internet Creepypastas Candle Cove, The No-End House, Butcher's Block, and The Dream Door."
979,Seven of the most formidable heroes form arguably the most powerful team ever.
980,"In 1950s New York, a lonely private detective afflicted with Tourette's Syndrome ventures to solve the murder of his mentor and only friend."
981,"Counting down his last days as Chief of Police in the tiny town of Lone Crow, John Hawkins must investigate one last case when a mangled body with uncanny wounds washes up on the shores of the Porcupine River."
982,What seemed like a breezy idea that would net an engineer millions of dollars ends up leaving him on the run for his life and trying to piece together why he's being chased.
983,"In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife."
984,"A thief fresh out of prison, tries to work his way back into the life of his daughter and ex-fiancé. Determined, he is forced to use the skills he has as a gifted locksmith. Things take a tumultuous turn after an unexpected disappearance."
985,Short dramas each with a twist of some kind; across the first four seasons most of these are from short stories by Roald Dahl.
986,"A female sleuth sashays through the back lanes and jazz clubs of Melbourne in the late 1920s, fighting injustice with her pearl-handled pistol and her dagger-sharp wit."
987,A high-octane conspiracy series that follows the mystery of Flight 716 - a passenger plane that vanishes over the Atlantic Ocean.
988,"Jesse Stone (Selleck) is a New England police chief investigating a series of murders, in an adaptation of Robert B. Parker's novel."
989,Andy McNally and her friends are out of the academy and must adjust to the challenging life of a police officer at the 15th Division in Toronto.
990,"Coming together to solve a series of murders in New York City are a police detective and an assassin, who will be hunted by the police, the mob, and a ruthless corporation."
991,The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.
992,"After a childhood marked by a miracle, Narcisa, a novice nun joins a school to teach young girls."
993,The affair between a politician and a contemporary dancer is affected by mysterious forces keeping the lovers apart.
994,A former Chicago cop moves to a small Florida town and joins the state police.
995,"In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with an ancestral creature."
996,"Follows London widow Cora Seaborne who moves to Essex to investigate reports of a mythical serpent. She forms a bond of science and skepticism with the pastor, but when tragedy strikes, locals accuse her of attracting the creature."
997,"When Sally's fiancee doesn't appear her best friend Aurora asks Arthur to assist her look for him. Soon a body is found, everyone assumes it is Sally's tardy groom, but when it turns out to be someone else, he becomes the main suspect."
998,"After an entity of mysterious origin annihilates the world's population causing those who observe it to take their lives, Sebastián and his daughter begin their own great adventure of survival in Barcelona."
999,"When strange anomalies start to appear all over England, Professor Cutter and his team must track down and capture all sorts of dangerous prehistoric creatures from Earth's distant past and near future."
1000,A retired jewel thief sets out to prove his innocence after being suspected of returning to his former occupation.
1001,"Nick Bannister, a private investigator of the mind, navigates the alluring world of the past when his life is changed by new client Mae. A simple case becomes an obsession after she disappears and he fights to learn the truth about her."
1002,A law school graduate becomes the protégée of a successful high-stakes litigator.
1003,"Simon ""The Saint"" Templar, a wealthy adventurer and 20th-century Robin Hood, travels the world in his white Volvo P1800S, solving unsolvable problems and righting wrongs."
1004,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
1005,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.
1006,"Novelist Catherine Tramell is once again in trouble with the law, and Scotland Yard appoints psychiatrist Dr. Michael Glass to evaluate her. Though, like Detective Nick Curran before him, Glass is entranced by Tramell and lured into a seductive game."
1007,"The world's best fighters are invited to DOA, an invitational martial arts contest. There, four female rival fighters will have to work together to uncover the secret that the organizer of the tournament is trying to hide."
1008,Drama series following the detectives of an elite murder investigation squad in London.
