,thriller
765,"When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone."
766,A street gang known as The Warriors must fight their way from the Bronx to their home turf on Coney Island when they are falsely accused of assassinating a respected gang leader.
767,"Anastasia (Dakota Johnson) and Christian (Jamie Dornan) get married, but Jack Hyde (Eric Johnson) continues to threaten their relationship."
768,"John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder."
769,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.
770,"An artist who gets pulled into the murky high stakes of a con job and a fiery task force officer on the mission to rid the country of his menaces in a fast-paced, edgy one-of-a-kind thriller."
771,The Lamberts must go deeper into The Further than ever before to put their demons to rest once and for all.
772,The plot is unknown at this time.
773,"A controversial true crime writer finds a box of super 8 home movies in his new home, revealing that the murder case he is currently researching could be the work of an unknown serial killer whose legacy dates back to the 1960s."
774,A crew of oceanic researchers working for a deep sea drilling company try to get to safety after a mysterious earthquake devastates their deepwater research and drilling facility located at the bottom of the Mariana Trench.
775,"As her 16th birthday nears, Sabrina Spellman must reconcile her dual nature as a half-witch, half-mortal while fighting the evil forces that threaten her, her family, and the daylight world humans inhabit."
776,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
777,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.
778,"A malevolent being known as The Jester terrorizes the inhabitants of a small town on Halloween night, including two estranged sisters who must come together to find a way to defeat this evil entity."
779,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
780,An industrial worker who hasn't slept in a year begins to doubt his own sanity.
781,"After quitting dating apps, a woman meets the supposedly perfect man and accepts his invitation to a romantic weekend getaway, only to find that her new paramour has been hiding some unusual appetites."
782,"Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons."
783,"Stranded at a desolate Nevada motel during a nasty rain storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one."
784,"Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it's too late."
785,The 8th entry in the long running Mission Impossible franchise.
786,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
787,Ecological thriller about the delicate interconnectedness between mankind and Earth.
788,"Revolves around the extraordinary journey of Tejas Gill, an Air Force pilot, and aims to inspire and instill a deep sense of pride in the valiant soldiers who tirelessly defend India, confronting numerous challenges along the way."
789,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse."
790,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path."
791,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.
792,Seven strangers from different walks of life forced together to complete a community payback sentence in Bristol.
793,A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.
794,"Refusing to let anything spoil their romantic weekend break, a young couple confront a gang of loutish youths with terrifyingly brutal consequences."
795,"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer."
796,"A mysterious pill that enables the user to access 100% of his brain's abilities transforms a struggling writer into a financial wizard, but it also puts him in a new world with many dangers."
797,"In the Old Stone Age, a disparate gang of early humans band together in search of a new land. But when they suspect a malevolent, mystical being is hunting them down, the clan are forced to confront a danger they never envisaged."
798,"Fugitive Jesse Pinkman runs from his captors, the law, and his past."
799,"Follows the actions of Section 20, a secretive unit of British military intelligence. A team of special operations personnel conduct several high risk missions across the globe."
800,A sexual consent scandal amongst British privileged elite and the women caught up in its wake.
801,Loretta McLaughlin was the reporter who first connected the murders and broke the story of the Boston Strangler. She and Jean Cole challenged the sexism of the early 1960s to report on the city's most notorious serial killer.
802,"Many in the coastal town of Haven, Maine have a dormant curse or ""trouble"" that could trigger at any time for any reason. FBI agent Audrey Parker, the sheriff and the town's black sheep must deal with the troubles' deadly effects."
803,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see."
804,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure."
805,"Tells the story of Michael Peterson, a crime novelist accused of killing his wife Kathleen after she is found dead at the bottom of a staircase in their home, and the 16-year judicial battle that followed."
806,An enigmatic figure who uses her extensive skills to help those with nowhere else to turn.
807,A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.
808,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic."
809,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
810,"A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death."
811,"An Indian-American teenager struggling with her cultural identity has a falling out with her former best friend and, in the process, unwittingly releases a demonic entity that grows stronger by feeding on her loneliness."
812,"Four college girls hold up a restaurant in order to fund their spring break vacation. While partying, drinking, and taking drugs, they are arrested, only to be bailed out by a drug and arms dealer."
813,James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource.
814,A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.
815,"Haunting of the Queen Mary explores the mysterious and violent events surrounding one family's voyage on Halloween night in 1938, and their interwoven destiny with another family onboard the infamous ocean liner present day."
816,"On Halloween night, Tara Heyes finds herself as the obsession of a sadistic murderer known as Art the Clown."
817,A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.
818,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds."
819,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
820,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.
821,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter."
822,Suburban mom Allison DuBois attempts to balance family life with solving mysteries using her special gift. The dead send her visions of their deaths or other crimes while she sleeps.
823,"In a deleted scene from The Batman (2022), Batman consults an old acquaintance and Arkham inmate about The Riddler's crime spree."
824,Supernatural horror loosely based on Salem's 17th century witch trials.
825,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss."
826,An expert cutter must outwit a dangerous group of mobsters in order to survive a fateful night.
827,"A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions."
828,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.
829,"On vacation in Thailand, Richard sets out for an island rumored to be a solitary beach paradise."
830,The crew of a naval destroyer is forced to confront the reality of a new existence when a pandemic kills off most of the earth's population.
831,"Follows the complicated life of intelligence officer John Tavner, whose latest assignment--to prevent Iran from going nuclear--requires him to forgo all safety nets and assume a perilous, non-official cover."
832,"In twisted tale of infidelity, a best-selling author fuels his latest novel with details drawn from his torrid affair with a female college student. His wife, reading the novel, strays deeper into mania."
833,"In a small town in Arizona, a mysterious man/spirit descends from the sky and manifests in a sports car and targets a local violent road-racing gang of motor heads, headed by a ruthless bully who'll do anything to get what he wants."
834,Two spies are recruited by an intelligence agency. They pose as a married couple Mr. and Mrs. Smith when they are on their missions.
835,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
836,"Chris and a group of five friends are left stranded deep in the middle of the woods after their cars collide. As they venture deeper into the woods, they face an uncertain and bloodcurdling fate."
837,A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.
838,"An elite covert operations unit carries out highly sensitive missions subject to official denial in the event of failure, death or capture."
839,A group of troublemaking boys decide to take a stand when terrorists seize control of their boarding school.
840,"On the trail of a missing girl, an ex-cop comes across a secretive group attempting to summon a terrifying supernatural entity."
841,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from."
842,Focuses on humans dealing with the incoming invasion of a highly-advanced alien civilization called Three-Body.
843,"French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD."
844,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord."
845,"In Warsaw, a prosecutor's hopes rise after a body is found and linked to his sister's disappearance 25 years earlier."
846,"Obsessed with vengeance, a man sets out to find out why he was kidnapped and locked into solitary confinement for twenty years without reason."
847,"During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town."
848,"17-year-old Zoe Hull uses her wits, survival skills, and compassion to fight for her life, and those of her fellow classmates, against a group of live-streaming school shooters."
849,"After a group of people, who meet online, discover a bizarre graphic novel which seems to hold mysterious answers, they find themselves being tracked down by a merciless organization known merely as 'The Network'."
850,Plot under wraps.
851,A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.
852,A quirky spy show of the adventures of eccentrically suave British Agent John Steed and his predominantly female partners.
853,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free.
854,"The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test."
855,Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.
856,A slightly unhinged cop is partnered with a veteran detective trying to maintain a low stress level in his life.
857,"Sam, a disenchanted young man, finds a mysterious woman swimming in his apartment's pool one night. The next morning, she disappears. Sam sets off across LA to find her, and along the way he uncovers a conspiracy far more bizarre."
858,"In an unprecedented snowstorm, a wife's plans to kill her abusive husband begin to unravel."
859,"Arnold, whose lifestyle on a battered houseboat in Chelsea's Cheyne Walk contrasts sharply with the affluent elite whose crimes he helps solve alongside partner D.C. Priya Shamsie."
860,"A policeman and his doctor wife have some marriage problems and the son blames the mother. For his job, the policeman investigates a case of a missing boy. The possible kidnapping looks like some cases from a few years ago."
861,"Motivations are suspect, and expectations are turned chaos, as a con artist takes on Manhattan billionaires."
862,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse."
863,"In November 1984, the Soviet Union's best submarine captain violates orders and heads for the U.S. in a new undetectable sub. The American CIA and military must quickly determine: Is he trying to defect or to start a war?"
864,A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.
865,"Candy Montgomery is a 1980s housewife and mother who did everything right. When the pressure of conformity builds within, her actions scream for just a bit of freedom--until someone tells her to shush--with deadly results."
866,"Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe."
867,The Midnight Club follows an octet of terminally-ill teenage patients at Brightcliffe Hospice as they gather at midnight to share scary stories.
868,"A hitman, his boss, an art dealer and a money-laundering scheme that accidentally turns the assassin into an overnight avant-garde sensation, one that forces her to play the art world against the underworld."
869,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.
870,"After a drug deal gone wrong, a bruised detective must fight his way through the criminal underworld to rescue a politician's estranged son, unraveling a deep web of corruption and conspiracy that ensnares his entire city."
871,A psychological thriller centered around a black-ops interrogator and an F.B.I. Agent who press a suspect terrorist into divulging the location of three nuclear weapons set to detonate in the U.S.
872,"During WWII an American destroyer discovers a German U-boat, and in the ensuing duel the American captain must draw upon all his experience to defeat the equally experienced German commander."
873,"A man, his wife and their friend stage a bloody bank robbery without realizing they are stealing from the Mob."
874,"Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities."
875,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob."
876,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution."
877,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
878,A small Norwegian town experiencing warm winters and violent downpours seems to be headed for Ragnarok -- unless someone intervenes in time.
879,Series based on the 'Alien' film franchise.
880,A grieving snowplow driver seeks out revenge against the drug dealers who killed his son.
881,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.
882,"The famed monster hunter is sent to Transylvania to stop Count Dracula, who is using Dr. Frankenstein's research and a werewolf for nefarious purposes."
883,"Genre-mixing anthology series, inviting viewers into some very different and enigmatic No. 9s."
884,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends and what happens when they meet criminal forces greater than themselves."
885,A secret agent exacts revenge on a serial killer through a series of captures and releases.
886,"Frank Martin, who ""transports"" packages for unknown clients, is asked to move a package that soon begins moving, and complications arise."
887,"A group of teenagers spend the weekend in a ski lodge on the anniversary of their friends' disappearance, unaware that they are not alone."
888,"Snake Plissken is once again called in by the United States government to recover a potential doomsday device from Los Angeles, now an autonomous island where undesirables are deported."
889,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
890,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building."
891,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
892,A young couple staying in an isolated vacation home are terrorized by three unknown assailants.
893,"The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror."
894,"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences."
895,"An epic tale following a gang of Victorian women who find themselves with unusual abilities, relentless enemies, and a mission that might change the world."
896,"When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must confront his past and fight a battle for the heart of his city."
897,"A recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her."
898,"When a mysterious illness descends upon the Andaman and Nicobar Islands, a desperate fight for survival collides with a race to find a cure."
899,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.
900,A quadriplegic ex-homicide detective and his partner try to track down a serial killer who is terrorizing New York City.
901,"While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders."
902,"Based on the book 'A Ticket To Syria', Avinash Kamath, an ex-cop turned mercenary, takes up the daunting task of rescuing Aliya, a newly married girl trapped in war-torn Syria against the backdrop of growing ISIS terrorism."
903,A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.
904,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
905,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.
906,"A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter, while trying to arrest a dangerous crime lord along the way."
907,Follows the unspeakable torture and abuses committed on a teenage girl in the care of her aunt and the boys who witness and fail to report the crime.
908,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination."
909,"Five years after the events of The Last of Us, Ellie embarks on another journey through a post-apocalyptic America on a mission of vengeance against a mysterious militia."
910,"The Manzoni family, a notorious Mafia clan, is relocated to Normandy, France, under the Witness Protection Program, where fitting in soon becomes challenging as their old habits die hard."
911,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet Agent within MI6."
912,A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him in order to track down a killer.
913,"An accidental discovery near a doctor's estate stirs up some painful memories eight years after his wife's hideous murder, and now, things are bound to take a turn for the unexpected. Does the good doctor know more than he's letting on?"
914,The hot-headed young D'Artagnan along with three former legendary but now down-on-their-luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.
915,"In 1994 in South Africa, the daughter of a multiracial couple is kidnapped. She escapes and, as an adult, becomes a detective. Reyka Gama uses her skills to raise her child and solve mysteries."
916,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies, and mischief ensues after he devises a plot to have them murdered."
917,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.
918,Foster teen Frankie attends elite Swiss boarding school. One of her classmates is murdered and everyone is quick to blame Frankie. She must prove innocence before becoming prime suspect.
919,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race."
920,"Vengeance rides the open road when a young woman, traveling alone, encounters a renegade drifter and ends up in a fight for her life."
921,"After a successful heist, Porter is left for dead. Once he recovers, he seeks vengeance and wants his share of the money."
922,"A widowed former reverend living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come."
923,"A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants."
924,A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.
925,"Five friends set sail and their yacht is overturned by a strange and sudden storm. A mysterious ship arrives to rescue them, and what happens next cannot be explained."
926,"After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release."
927,"The cases of a brilliant, if Irascible, coroner who investigates suspicious deaths which usually suggest murder."
928,"When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline."
929,Follows a CIA team in Berlin and their clandestine activities.
930,"The members of the Torchwood Institute, a secret organization founded by the British Crown, fight to protect the Earth from extraterrestrial and supernatural threats."
931,"A former Secret Service agent takes on the job of bodyguard to an R&B singer, whose lifestyle is most unlike a President's."
932,A man discovers that his hallucinations are actually visions from past lives.
933,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho he met that evening at a coffee shop.
934,"When the first manned mission to Mars meets with a catastrophic and mysterious disaster after reporting an unidentified structure, a rescue mission is launched to investigate the tragedy and bring back any survivors."
935,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.
936,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.
937,"A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit."
938,"A group of young adults, who meet online, get a hold of a cult underground graphic novel, which not only pins them as a target of a shadowy deep state organization, but also burdens them with the dangerous task of saving the world."
939,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.
940,"A married couple, Simon and Robyn, run into Gordo, an old classmate. Things take a turn when Gordo begins to drop in unannounced at their house and inundates them with mysterious gifts."
941,A woman faces deadly consequences for abandoning her loving relationship with her boyfriend to pursue exciting sexual scenarios with a mysterious celebrity mountaineer.
942,"The lives of three friends, from their early school days into young adulthood, when the reality of the world they live in comes knocking."
943,"Jong-su bumps into a girl who used to live in the same neighborhood, who asks him to look after her cat while she's on a trip to Africa. When back, she introduces Ben, a mysterious guy she met there, who confesses his secret hobby."
944,"After her mother goes missing, a young woman tries to find her from home, using tools available to her online."
945,"A brilliant, charismatic, and psychotic serial killer communicates with other active serial killers and activates a cult of believers who follow his every command."
946,Two young people's bond leads to marital infidelity and ultimately crime.
947,A Mossad agent embarks on her first mission as a computer hacker in her home town of Tehran.
948,"13 years after bestselling horror writer Alan Wake went missing, a string of ritualistic murders occur in the town of Bright Falls, Washington. Saga Anderson, an FBI agent, is sent to Bright Falls to investigate the murders."
949,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes, while the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
950,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
951,"An elite team of mercenaries breaks into a family compound on Christmas Eve, taking everyone hostage. However, they aren't prepared for a surprise combatant: Santa Claus is on the grounds, and he's about to show why this Nick is no saint."
952,"When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems."
953,Follows the journey of a time traveler from the post-apocalyptic future who appears in present day on a mission to locate and eradicate the source of a deadly plague that will nearly destroy the human race.
954,A tough aspiring chef is hired to bring home a mobster's son from the Amazon but becomes involved in the fight against an oppressive town operator and the search for a legendary treasure.
955,A woman running her family's noodle restaurant receives an invitation to join the fine-dining industry under the tutelage of an infamous chef.
956,"Follows a dominatrix and Hal, her wealthy client, and the disaster that ensues when Hal tries to end their relationship."
957,Beautiful journey through the depths of the underwater world as we witness a gripping tale of grief and healing unfold before our eyes.
958,"While fleeing from dangerous assailants, an assassin comes out of hiding to protect the daughter she left earlier in life."
959,"Soon after a stranger arrives in a little village, a mysterious sickness starts spreading. A policeman, drawn into the incident, is forced to solve the mystery in order to save his daughter."
960,"Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure."
961,"A computer engineer investigates the secretive development division in her company, which she believes is behind the disappearance of her boyfriend."
962,"A woman is kidnapped by a stranger on a routine flight. Threatened by the potential murder of her father, she is pulled into a plot to assist her captor in a political assassination."
963,They influence our decisions without us knowing it. They numb our senses without us feeling it. They control our lives without us realizing it. They live.
964,French nuclear tests irradiate an iguana into a giant monster that heads off to New York City. The American military must chase the monster across the city to stop it before it reproduces.
965,James Bond sets out to stop a media mogul's plan to induce war between China and the UK in order to obtain exclusive global media coverage.
966,"At the opening party of a colossal, but poorly constructed, office building, a massive fire breaks out that threatens to destroy the tower and everyone in it."
967,"Death stalks Alex Browning and a group of high school students, who survived a doomed airliner."
968,"When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers."
969,"A Uruguayan rugby team crashes in the Andes Mountains and has to survive the extremely cold temperatures and rough climate. As some of the people die, the survivors are forced to make a terrible decision between starvation and cannibalism."
970,"An assassin on a final assignment in Fuerteventura, to kill a man he has never met. When his target is delayed, he finds himself drawn to the island, people and a ghostly shipwreck."
971,"Adam Lawrence was trained and groomed by MI6; his career seems set. When the past catches up with him in the form of Kara, a Russian spy with whom he shares a complicated past, he is forced to question everything and everyone in his life."
972,"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her."
973,"Commissioner Martin Beck and his eccentric partner Gunvald Larsson investigate murders in Stockholm, Sweden."
974,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C."
975,"The Hitter, the Hacker, the Grifter and the Thief are back, this time with help from a new tech genius and corporate fixer, to take on a new kind of villain. When someone needs help, they provide...Leverage."
976,"In a remote town in Iceland, police desperately try to solve a crime as a powerful storm descends upon the town."
977,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
978,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war."
979,"Follows Anne, a brilliant lawyer who lives with her husband Pierre and their daughters. Anne gradually engages in a passionate relationship with Theo, Pierre's son from a previous marriage, putting her career and family life in danger."
980,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
981,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
982,"When a British soldier is charged with a crime, the tenacious young detective handling his case begins to uncover a conspiracy."
983,"After the murder of her estranged son, a journalist forms an unlikely alliance with his pregnant girlfriend to track down those responsible. Together, they confront a world of drugs and corruption in the underbelly of a small city."
984,"Two Chicago firefighter brothers, who don't get along, have to work together while a dangerous arsonist is on the loose."
985,An undercover FBI agent becomes a vigilante and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.
986,"A chronicle of the crimes of Ted Bundy from the perspective of Liz, his longtime girlfriend, who refused to believe the truth about him for years."
987,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before."
988,A young woman travels to Texas to collect an inheritance; little does she know that an encounter with a chainsaw-wielding killer is part of the reward.
989,Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops.
990,"In 1960, seven pre-teen outcasts fight an evil demon who poses as a child-killing clown. Thirty years later, they reunite to stop the demon once and for all when it returns to their hometown."
991,"An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister."
992,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty."
993,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.
994,"One of the world's top bodyguards gets a new client, a world class hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial alive and on time."
995,An attorney intending on climbing the career ladder toward success finds an unlikely opponent in a manipulative criminal he is trying to prosecute.
996,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem."
997,A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.
998,"James Bond uncovers a nuclear plot while protecting an oil heiress from her former kidnapper, an international terrorist who can't feel pain."
