,fantasy
816,"In 1897 Transylvania, the blood-drinking Count draws his plans against Victorian London."
817,"Still a stranger to her own body, a high school student discovers she has a physical advantage when she becomes the object of male violence."
818,"A young boy accidentally joins a band of time travelling dwarves, as they jump from era to era looking for treasure to steal."
819,"Having made a deal with the Devil himself for immortality many millennia ago, the now decrepit mystic Doctor Parnassus fights for the freedom of his only daughter's soul."
820,This series follows the adventures of Thomas the Tank Engine and all of his engine friends on the Island of Sodor.
821,"A modern-day avatar of Vishnu, a Hindu god, who is believed to have descended to earth to protect the world from evil forces."
822,"An anthology series based on popular Internet Creepypastas Candle Cove, The No-End House, Butcher's Block, and The Dream Door."
823,A prince of the mythical world starts a rebellion against humanity in order to rule the Earth. Hellboy and his team must fight to stop him from locating the all-powerful Golden Army.
824,Seven of the most formidable heroes form arguably the most powerful team ever.
825,An ordinary high school student discovers that his family has an unusual pedigree.
826,Star Wars anthology series that will see some of the world's best anime creators bring their talent to this beloved universe.
827,"In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife."
828,"A teenage girl discovers her father has an amazing talent to bring characters out of their books and must try to stop a freed villain from destroying them all, with the help of her father, her aunt, and a storybook's hero."
829,"On a special inner city street, the inhabitants, human and muppet, teach preschool subjects with comedy, cartoons, games, and songs."
830,"A lonely doctor who once occupied an unusual lakeside house begins to exchange love letters with its former resident, a frustrated architect. They must try to unravel the mystery behind their extraordinary romance before it's too late."
831,A mother and daughter find their personalities switched and have to live each other's lives on one strange Friday.
832,A band of samurai sets out to avenge the death and dishonor of their master at the hands of a ruthless shogun.
833,A recovering alcoholic must wrestle with demons within and without when he and his family move into a haunted hotel as caretakers.
834,"After the mysterious murder of his father, a son's search for answers begins a momentous fight against tyranny."
835,"A family of friendly monsters have misadventures, never quite understanding why people react to them so strangely."
836,"After being hit on the head by a toilet seat that fell from Mir space station, a young temp clerk becomes a grim reaper in death."
837,"Follows London widow Cora Seaborne who moves to Essex to investigate reports of a mythical serpent. She forms a bond of science and skepticism with the pastor, but when tragedy strikes, locals accuse her of attracting the creature."
838,Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.
839,"A compulsive gambler dies during a shooting, but he'll receive a second chance to reform himself and to make up with his worried wife."
840,A lonely landscape architect falls for the spirit of the beautiful woman who used to live in his new apartment.
841,"When strange anomalies start to appear all over England, Professor Cutter and his team must track down and capture all sorts of dangerous prehistoric creatures from Earth's distant past and near future."
842,The legendary Clades are a family of explorers whose differences threaten to topple their latest and most crucial mission.
843,The Red Ribbon Army from Goku's past has returned with two new androids to challenge him and his friends.
844,"When Jack Deebs was behind bars he found escape by creating Cool World, a cartoon series featuring a vixen named Holli Would. The flesh proves weaker than ink, however, as Holli takes human form in Las Vegas."
845,A protege of the magician Merlin must train his teacher's successor - an introverted but resourceful physics prodigy - in the art of sorcery to prevent the return of Morgana le Fay.
846,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.
847,"When a widowed Joseon noblewoman is kidnapped and tossed into a well, it turns out to be a portal to present-day Seoul. Out of her element, she enters a contract marriage with a cold chaebol who looks just like her deceased husband."
848,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her."
849,"Profion, a tyrant, attempts to overthrow a peaceful kingdom ruled by a tough empress."
850,A group of high school students form a coven of witches.
851,"After an ex-con returns to her fishing village, a dead body leads her to uncover the secrets of the town and its half-siren, half-human residents."
852,A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.
853,"Deep in the Dovre mountain, something gigantic wakes up after a thousand years in captivity. The creature destroys everything in its path and quickly approaches Oslo."
854,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons."
855,A shy teenager falls for a spirit who wakes up in the body of a different person every morning.
856,A troubled writer moves into a haunted house after inheriting it from his aunt.
857,"Discover a reborn Mortal Kombat Universe created by the Fire God Liu Kang. Mortal Kombat 1 ushers in a new era of the iconic franchise with a new fighting system, game modes, and fatalities."
858,"In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his forehead."
859,"Banished to the mortal realm to exorcise ghosts, a deity must reckon with a demon and soon uncovers a dark secret behind the heavenly gods."
860,"The mysterious Mr. Roarke runs a unique resort island in the Pacific Ocean that can fulfill any fantasy, but they rarely turn out as expected."
861,A United States astronaut finds his life vastly complicated when he stumbles on to a bottle containing a female genie.
862,A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.
863,"29-year-old Satoru Fujinuma is sent back in time 18 years to prevent the events leading to his mother's death, which began with a series of kidnappings while he was in 5th grade."
864,A villain's maniacal plan for world domination sidetracks five teenage superheroes who dream of Hollywood stardom.
865,"Noodle shop employees by day and demon hunters by night, the Counters use special abilities to chase down malevolent spirits that prey on humans."
866,"A young boy stumbles onto a witch convention and must stop them, even after he has been turned into a mouse."
867,"After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies."
868,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.
869,The music of The Beatles and the Vietnam War form the backdrop for the romance between an upper-class American girl and a poor Liverpudlian artist.
870,"Three twenty-somethings share a house and try to live a normal life despite being a ghost, a werewolf, and a vampire."
871,"A cop killed by his own partner joins RIPD, an afterlife law enforcement department working to apprehend various monsters disguised as humans living on earth, and gets paired up with a smart-mouthed veteran."
872,"High up on a mountain peak surrounded by clouds, a secret Yeti society lives in peace and harmony. One day, a Yeti witnesses an airplane crash; Inside lies ""Smallfoot"", a legendary creature that will rock the society to its core."
873,"A teenager teams up with the daughter of young-adult horror author R.L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware."
874,A horror anthology series with each episode inspired by a holiday.
875,"In a California desert town, a short-order cook with clairvoyant abilities encounters a mysterious man with a link to dark, threatening forces."
876,"Upon his return to his ancestral homeland, an American man is bitten and subsequently cursed by a werewolf."
877,A young Shaolin follower reunites with his discouraged brothers to form a soccer team using their martial art skills to their advantage.
878,"Star Butterfly arrives on Earth to live with the Diazes, a Mexican-American family. She continues to battle villains throughout the universe and high school, mainly to protect her extremely powerful wand, an object that still confuses her."
879,"When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq and from her Fairy Godmother."
880,"This show follows the life of a family of dinosaurs, living in a modern world. They have televisions, refrigerators, et cetera. The only humans around are cavemen, who are viewed as pets and wild animals."
881,"A chaotic battle ensues between Jerry Mouse, who has taken refuge in the Royal Gate Hotel, and Tom Cat, who is hired to drive him away before the day of a big wedding arrives."
882,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends."
883,Vampire death dealer Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.
884,Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality where all thoughts are seen and heard by everyone.
885,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.
886,"A desert warrior rises up against the evil army that is destroying his homeland. He captures the enemy's key sorcerer, takes her deep into the desert and prepares for a final showdown."
887,"The animated series follows Peter Parker on his way to becoming Spider-Man in the MCU, with a journey unlike we've ever seen and a style that celebrates the character's early comic book roots."
888,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
889,An anthology series of insightful science fiction tales.
890,A private detective specializing in missing children is charged with the task of finding a special child whom dark forces want to eliminate.
891,"A grieving woman magically travels through time to 1998, where she meets a man with an uncanny resemblance to her late love."
892,"Mickey and his friends Minnie, Donald, Pluto, Daisy, Goofy, Pete, Clarabelle and more go on fun and educational adventures."
893,"A gamer is magically summoned into a parallel universe, where he is chosen as one of four heroes destined to save the world from its prophesied doom."
894,An account of Baron Munchausen's supposed travels and fantastical experiences across late 18th-century Europe with his band of misfits.
895,"In rural 19th-century France, a mysterious, possibly supernatural menace threatens a small village. John McBride, a pathologist, comes to town to investigate the danger - and exorcise some of his own demons in the process."
896,A hotel handyman's life changes when the lavish bedtime stories he tells his niece and nephew start to magically come true.
897,Feature film based on the children's book about a crocodile that lives in New York City.
898,"During the bright Nordic summer, a group of children reveal their dark and mysterious powers when the adults aren't looking. In this original and gripping supernatural thriller, playtime takes a dangerous turn."
899,"On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal, and to restore order to his world."
900,"One year after the violent eruption of the subglacial volcano Katla, the peace and tranquility in the small town of Vik is dramatically disturbed."
901,Hiccup and Toothless reunite to remind both their kinds of the inseparable bond between vikings and dragons.
902,A professional cellist has an encounter with a stranger on the subway which has unexpected and far-reaching ramifications on his life.
903,"In this loose sequel to Interview with the Vampire: The Vampire Chronicles (1994), the vampire Lestat becomes a rock star whose music wakes up the equally beautiful and monstrous queen of all vampires."
904,"A disfigured composer sells his soul for the woman he loves so that she will perform his music. However, an evil record tycoon betrays him and steals his music to open his rock palace, The Paradise."
905,"The last dragon and a disillusioned dragonslaying Knight must cooperate to stop an evil King, who was given partial immortality."
906,"After wiping out the gods of Mount Olympus, Kratos moves on to the frigid lands of Scandinavia, where he and his son must embark on an odyssey across a dangerous world of gods and monsters."
907,"A girl and her robot companion search for her mother, who's lost within a vast chasm."
908,"An episodic anthology that will follow individual characters from the The Walking Dead TV universe, both new and old."
909,"Maria, an alienated high-school student, has her life turned upside down when she switches places with her sinister mirror image."
910,"A London woman's love life and career both hinge, unknown to her, on whether or not she catches a train. We see it both ways, in parallel."
911,British sitcom in which an unhappily married man discovers he can time travel back to 1940s war-torn London where he masquerades as an MI5 agent and part-time songwriter whilst courting the local barmaid.
912,A psychiatrist familiar with knife-wielding dream demon Freddy Krueger helps teens at a mental hospital battle the killer who is invading their dreams.
913,"As an actress begins to adopt the persona of her character in a film, her world becomes nightmarish and surreal."
914,"A sword-and-sorcery fantasy about a young man's search for revenge. Armed with supernatural powers, the handsome hero and his animal allies wage war against marauding forces."
915,"A group of teenagers meet in the woods, and tell scary stories."
916,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig."
917,"High school misfit Louise, at a loss for romance, discovers magical abilities, but the teenage witch finds that she cannot conjure herself true love, so what?"
918,Deliveryman Sam Porter must travel across a ravaged wasteland and reconnect the city states of America formed after a mysterious apocalyptic event dubbed 'death stranding' left the world in ruins and plagued by supernatural tar creatures.
919,"After Tohru is taken in by the Soma family, she learns that twelve family members transform involuntarily into animals of the Chinese zodiac and helps them deal with the emotional pain caused by the transformations."
920,"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world."
921,"After helping a cat, a seventeen-year-old girl finds herself involuntarily engaged to a cat Prince in a magical world where her only hope of freedom lies with a dapper cat statuette come to life."
922,"A former radio DJ, suicidally despondent because of a terrible mistake he made, finds redemption in helping a deranged homeless man who was an unwitting victim of that mistake."
923,"In a world where superheroes have been real for decades, an accountant with no superpowers comes to realize his city is owned by a super villain. As he struggles to uncover this conspiracy, he falls in league with a strange blue superhero."
924,"Picking up directly from the previous movie, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them."
925,An orphaned dinosaur raised by lemurs joins an arduous trek to a sanctuary after a meteorite shower destroys his family home.
926,"February 12 is just another day in Sam's charmed life, until it turns out to be her last. Stuck reliving her last day over and over, Sam untangles the mystery around her death and discovers everything she's losing."
927,Average 37-year-old Minami Satoru dies and is reincarnated as the most unremarkable creature imaginable-a slime.
928,"When three gifted kids at an isolated idyllic orphanage discover the secret and sinister purpose they were raised for, they look for a way to escape from their evil caretaker and lead the other children in a risky escape plan."
929,"Noah meets Avery at a Halloween party and falls in love but gets friend-zoned. 3 years later, she's engaged to someone else. Noah returns in a time machine to fix things."
930,"Thirty years after their popular television show ended, chipmunks Chip and Dale live very different lives. When a cast member from the original series mysteriously disappears, the pair must reunite to save their friend."
931,"A corrupt young man somehow keeps his youthful beauty eternally, but a special painting gradually reveals his inner ugliness to all."
932,"With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo."
933,"The adventures of Hercules as a boy, during his time at a training academy for warriors."
934,"Warworld, a place of unending brutal gladiatorial combat, Batman, Superman, Wonder Woman and others must unite to form an unbeatable resistance to lead the entire planet to freedom."
935,"Doctors at an ultramodern hospital in Denmark become convinced, by way of weird, inexplicable happenings, that the place is haunted."
936,"In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island."
937,"After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion."
938,"A grieving man receives a mysterious, personal invitation to meet with God at a place called ""The Shack."""
939,Follows a lycanthrope superhero who fights evil using the abilities given to him by a curse brought on by his bloodline.
940,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
941,"After being tortured and humiliated by his babysitter, a ten year old boy is put under the care of two fairy godparents, who can grant him almost any wish, which leads to dire consequences."
942,A trio of witches are trained to become powerful weapons for the American military.
943,The Z-Fighters set out to rescue Trunks from a prison planet.
944,"The Templeton brothers have become adults and drifted away from each other, but a new boss baby with a cutting-edge approach is about to bring them together again - and inspire a new family business."
945,"To save her ill son, a field mouse must seek the aid of a colony of rats, with whom she has a deeper link than she suspected."
946,"When an accident miraculously gives a boy an incredibly powerful pitching arm, he becomes a major league pitcher for the Chicago Cubs."
947,Mechanic Tylor Tuskmon has big dreams of working his way up the ranks to the Laugh Floor at Monsters Inc.
948,"When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place."
949,Two storms separated by 25 years. A woman murdered. A daughter missed. Only 72 hours to discover the truth.
950,"Alex, a 12-year-old boy, and his friends fight an evil sorceress with the help of Excalibur, the sword of King Arthur, in a bid to save the world from her atrocities."
951,"Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her."
952,"Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience, she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if she can go on."
953,"Ha-jin travels 1000 years back in time and lands in the era of Goryeo Dynasty as a young girl named Hae-soo. She, now trapped in another person's body, becomes involved in a power struggle against various vicious contenders to the throne."
954,"An adaptation of ""The Wizard of Oz"" that tries to capture the essence of the African-American experience."
955,"After she very narrowly survives a serious car accident, a woman discovers that she has a new relationship with time."
956,"An office worker in a dystopian world logs onto a video game for the last time only to find out that he, along with his entire guild, has been transported to another reality."
957,"Wallace and his loyal dog, Gromit, set out to discover the mystery behind the garden sabotage that plagues their village and threatens the annual giant vegetable growing contest."
958,A young woman who has faded to the point of becoming invisible must find her way back with the help of the one man who can see her.
959,"Three high school students are transported to a fantasy world. But while two are heroes, one can only be a healer."
960,Mavka must choose between love and duty to protect the Heart of the Forest.
961,"I.R.S. auditor Harold Crick suddenly finds his mundane Chicago life to be the subject of narration only he can hear: narration that begins to affect his entire existence, from his work to his love life to his death."
962,"When the fate of their world, Ninjago, is challenged by great threats, it's up to the ninja: Kai, Jay, Cole, Zane, Lloyd and Nya to save the world."
963,"""Arthdal Chronicles"" depicts the birth of civilization and nations in ancient times. It is a story of mythical heroes--their struggle, unity, and love of people living in a virtual land called Arth."
964,"An angel on Earth, a doctor unable to believe, a patient with a secret, a love story made in Heaven."
965,"As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began."
966,"Sara is sent to a strict boarding school after her father enlists in WWI. When he is presumed dead, the headmistress, knowing she will not receive any more money, forces the girl to become a servant."
967,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
968,"At the end of the ice age, an evil queen and her son are set on conquering the world using magic and warriors. The lone survivor of a crushed village fights back as does the king of Fire Keep."
969,"Follows a successful lawyer who has everything, but who is plagued by a family curse, and turns out that the one who holds the secret to breaking it is the seemingly ordinary civil servant."
970,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him."
971,"From the bitter quest of the Queen of Longtrellis, to two mysterious sisters who provoke the passion of a king, to the King of Highhills obsessed with a giant Flea, these tales are inspired by the fairytales by Giambattista Basile."
972,Several disparate but connected individuals go through the AIDS crisis in the mid-1980s.
973,"An outlaw cat, his childhood egg-friend, and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor, and regain the trust of his mother and town."
974,A young woman's sexual awakening brings horror when she discovers her urges transform her into a monstrous black leopard.
975,"Two swindlers get their hands on a map to the fabled city of gold, El Dorado."
976,An English Duke from 1876 is inadvertently dragged to modern day New York where he falls for a plucky advertising executive.
977,"In the aftermath of a great war, Violet Evergarden, a young female ex-soldier, gets a job at a writers' agency and goes on assignments to create letters that can connect people."
978,"A modern re-imagining of the beloved character, The Crow, based on the original graphic novel by James O'Barr."
979,"The first generation of superheroes has kept the world safe for nearly a century. Now their children must live up to their legacy in an epic drama that spans decades and navigates the dynamics of family, power and loyalty."
980,"With the heart of a warrior, a legendary swordsman wields an ancient, demonic weapon. But with every soul he takes, the more darkness consumes him."
981,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy."
982,Animated shorts that feature Jedi from the prequel era.
983,"Two 1990s teenage siblings find themselves transported to a 1950s sitcom where their influence begins to profoundly change that colorless, complacent world."
984,A countryside boy named Tatsumi sets out on a journey to The Capital to make a name for himself and met a seemingly dangerous group of Assassins known as Night Raid. Their journey begins.
985,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone."
986,An obese attorney is cursed by a gypsy to rapidly and uncontrollably lose weight.
987,A doctor discovers that he can communicate with animals.
988,"It centers on the family as they begin a new era of superhero crimefighting. When one save goes wrong, the Thundermans are sent back to Hiddenville."
989,The Mystery Inc. gang must save Coolsville from an attack of their past monsters brought to life by an evil masked figure trying to take down the gang.
990,"Follows Red, daughter of the Queen of Hearts, and Chloe, daughter of Cinderella, as they team up to save Auradon by traveling in back in time using the White Rabbit's pocket watch, to stop an event that would cause grave consequences."
991,"New York police officer Ralph Sarchie investigates a series of crimes. He joins forces with an unconventional priest, schooled in the rites of exorcism, to combat the possessions that are terrorizing their city."
992,"Anna returns home after a stint in a mental hospital, but her recovery is jeopardized by her father's new girlfriend and ghastly visions of her dead mother."
993,Five American soldiers assigned to hold a French Chateau near the end of World War II. This unexpected respite quickly descends into madness when they encounter a supernatural enemy more terrifying than anything seen on the battlefield.
994,"It's been five years since everything was awesome and the citizens are facing a huge new threat: Lego Duplo invaders from outer space, wrecking everything faster than they can rebuild."
995,"An orphan who lives with his two cruel aunts befriends anthropomorphic bugs who live inside a giant peach, and they embark on a journey to New York City."
996,"SpongeBob takes leave from Bikini Bottom in order to track down, with Patrick, King Neptune's stolen crown."
997,"In the city of Orario, where adventurers hunt monsters in a place called Dungeon, Bell Cranel's life was saved by a swordswoman, who has then become the source of Bell's determination to get stronger."
998,"The coming-of-age joyride of Cootie, a 13-foot-tall man who escapes to experience the beauty and contradictions of the real world. He forms friendships, finds love, navigates awkward situations, and encounters his idol, The Hero."
999,"While searching for honey, Pooh and his friends embark on an adventure to find Eeyore's missing tail and rescue Christopher Robin from an unknown monster called The Backson."
1000,It takes a tragedy to teach the young businessman Ian to put love ahead of work and open up to his musician girlfriend Samantha.
1001,Elio struggles to fit in until he is transported by aliens and becomes the chosen one to be Earth's galactic ambassador while his mother Olga works on the top secret project to decode alien messages.
1002,"Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas."
1003,"After an experimental gene therapy turns them into monsters, three twenty-somethings band together to hunt down the scientist responsible and force him to make them human again."
1004,Follows Odysseus on his wanderings back to Ithaca following the Trojan War.
1005,"The thief Gaston escapes the dungeon of medieval Aquila through the latrine. Soldiers are about to kill him when Navarre saves him. Navarre, traveling with his spirited hawk, plans to kill the bishop of Aquila with help from Gaston."
1006,"The story of Han Yi-joo, who chose a contract marriage to avenge her husband and family, and Seo Do-gook who postpones a contract marriage to welcome her as his wife."
1007,"A prince and a fellowship of companions set out to rescue his bride from a fortress of alien invaders who have arrived on their home planet, Krull."
1008,"In 1980s Hollywood, struggling martial arts actor Johnny Cage searches for his missing co-star amidst a Los Angeles filled with bloodthirsty fighters."
1009,"Return to the world of Thra, where three Gelfling discover the horrifying secret behind the Skeksis' power, and set out to ignite the fires of rebellion and save their world."
1010,"What would you do if you could travel to your loved ones' past, heal their traumas, fix their problems, and change them into the perfect partner?"
1011,A dog finds the meaning of his own existence through the lives of the humans he meets.
1012,Plot under wraps
1013,"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family."
1014,R.A.S. agents Miss Bianca and Bernard race to Australia to save a little boy and a rare golden eagle from a murderous poacher.
1015,"Rose Hathaway is a Dhampir, half human-half vampire, a guardian of the Moroi, peaceful, mortal vampires living discreetly within our world. Her calling is to protect the Moroi from bloodthirsty, immortal Vampires, the Strigoi."
1016,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.
1017,A series of scary anthology stories based on the children's books by R.L. Stine. Series one was hosted by R.L. Stine for twelve episodes.
1018,"A novelist struggling with writer's block finds romance in a most unusual way: by creating a female character he thinks will love him, then willing her into existence."
1019,"Psychologist Margaret Matheson and her assistant study paranormal activity, which leads them to investigate a world-renowned psychic who has resurfaced years after his toughest critic mysteriously passed away."
1020,A clan of heroic night creatures pledge to protect modern New York City as they did in Scotland one thousand years earlier.
1021,"Craig Williams is the shy, new kid in town. Little does he know, he'll soon set off on the biggest adventure he could ever dream of: treasure maps, pirate ships, and a villain who wants to destroy the Creek."
1022,The hyperactive red-headed bird enters a turf war with a big city lawyer wanting to tear down his home in an effort to build a house to flip.
1023,Continuation of X-Men: The Animated Series (1992) .
1024,"A selfish, cynical television executive is haunted by three spirits bearing lessons on Christmas Eve."
1025,Asterix and Obelix go to Egypt to help architect Edifis who is building a palace for Cleopatra.
1026,Billionaire Bruce Wayne fights crime and evil as the mysterious Batman.
1027,"Students from Zombietown are transferred to a high school in a suburban town preoccupied with uniformity, traditions and pep rallies."
1028,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo."
1029,"In the late 23rd century, a savage trained only to kill finds a way into the community of bored immortals that alone preserves humanity's achievements."
1030,"For generations, the people of the City of Ember have flourished in an amazing world of glittering lights. But Ember's once powerful generator is failing and the great lamps that illuminate the city are starting to flicker."
1031,"Uprooted by his parents' separation, teenager Kyle Moore is unable to fit into his new hometown until he stumbles upon a magical app that makes his social-media updates come true, changing his entire life."
1032,A high school science nerd gains telekinetic powers after a laboratory accident and uses them for revenge upon bullies.
1033,"A father and daughter are caught in a parallel universe where the great Queens Snow White, Cinderella and Riding Hood III have had their kingdoms fragmented by warring trolls, giants and goblins."
1034,Plot unknown.
1035,"Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids."
1036,"In a world of privilege and glamour, two young women's friendship transcends their strikingly different classes as they prepare to complete their education and enter royal vampire society."
1037,"Secrets are just part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight."
1038,"A series of eight famous pieces of classical music, conducted by Leopold Stokowski and interpreted in animation by Walt Disney's team of artists."
1039,"The end of Cartman's familiar, beloved life is predicted by his incredibly unsettling dreams. As the arrival of AI upends their society, the grownups in South Park are also struggling with their own personal decisions."
1040,A teenage sorceress named Nimue encounters a young Arthur on her quest to find a powerful and ancient sword.
1041,"An apprentice witch, three kids and a cynical magician conman search for the missing component to a magic spell to be used in the defense of Britain in World War II."
1042,"After losing a powerful orb, Kara Zor-El, Superman's cousin, comes to Earth to retrieve it and instead finds herself up against a wicked witch."
1043,"In an isolated mountain village in 19th century Macedonia, a young girl is kidnapped and then transformed into a witch by an ancient spirit."
1044,"A comedy set in a world where no one has ever lied, until a writer seizes the opportunity for personal gain."
1045,Former superhero Jack is called back to work to transform an unlikely group of ragtag kids into superheroes at a private academy.
1046,"Unlock the secrets of the Dragon Eye and come face to face with more dragons than anyone has ever imagined as Hiccup, Toothless and the Dragon Riders soar to the edge of adventure."
1047,"The Gremlins are back, and this time, they've taken control of a New York City media mogul's high-tech skyscraper."
1048,"A group of thieves breaks into a chamber expecting to find paintings, but instead they release the count himself, who travels to New Orleans to find his nemesis' daughter, Mary Van Helsing."
1049,Re-imagining of Final Fantasy VII (1997). A former soldier joins an eco-terrorist group in a mission against the electric power company he used to work for in order to protect the planet and all who reside on it.
1050,Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.
1051,"After a heroic death, a firefighter navigates the afterlife with the help of three guides."
1052,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby."
1053,"The comic follows an immortal warrior, known as Berzerker, as he fights his way through the ages."
1054,"In a mythical land, a man and a young boy investigate a series of unusual occurrences."
1055,"Presented in a surreal, gory and entirely visual manner, Begotten tells of the death of religion, the abuse of nature by Man and a nihilistic outlook on what life ultimately is."
1056,Legendary wizard Merlin tells his story of his war against Queen Mab of the Sidhe and his creation of Camelot.
1057,"A realtor and his wife and children are summoned to a mansion, which they soon discover is haunted, and while they attempt to escape, he learns an important lesson about the family he has neglected."
1058,The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.
1059,The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.
1060,"She-Ra, Princess of Power, leads a rebellion to free her land of Etheria from the monstrous invaders the Horde."
1061,"Ordinary Anne Boonchuy, 13, finds a music box that sends her to Amphibia, a world full of frogs, toads, and giant insects. With help from Sprig, she must adjust to life in Amphibia and discover the first true friendship in her life."
1062,"The adventures of four young lovers, a group of amateur actors and their interactions with fairies come to light in a moonlit forest."
1063,"A human child raised by wolves must face off against a menacing tiger named Shere Khan, as well as his own origins."
1064,"A troubled young man is drawn to a mythical place called Midian where a variety of friendly monsters are hiding from humanity. Meanwhile, a sadistic serial killer is looking for a patsy."
1065,"16 year old Cassie Blake moves to Chance Harbor, Washington to live with her grandmother after her mother mysteriously dies. She discovers she's a witch along with 5 other teens."
1066,"Talon, the lone survivor of the Blackbloods, sets off to track her family's killers, and discovers her supernatural powers, which she must learn to harness."
1067,"Matt and Kate buy an isolated house. While moving, they discover a strange room that grants them an unlimited number of material wishes. But since Kate has had two miscarriages, what they long for the most is a child."
1068,"A prequel centered on the origins of the centuries-old feud between the race of aristocratic vampires and their former slaves, the Lycans."
1069,A young girl named Alice has many zany adventures with her friends in a magical world on the other side of her looking glass.
1070,A family finds themselves fighting to survive in a land populated by dinosaurs and otherworldly beings.
1071,"A mysterious map sets Smurfette and her friends Brainy, Clumsy and Hefty on an exciting race through the Forbidden Forest, leading to the discovery of the biggest secret in Smurf history."
1072,"Makoto Misumi, an ordinary teenager, is summoned to a fantasy world to be its hero. However, the goddess judges him unattractive and dismisses him from his duties."
1073,A young wizarding apprentice is sent to kill a dragon which has been devouring girls from a nearby kingdom.
1074,Prince of Persia: The Lost Crown is an upcoming 2.5D platform action-adventure video game developed and published by Ubisoft.
1075,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world."
1076,"Elsa and Anna takes Olaf, Kristoff, and Sven for another adventure."
